ID,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Starting_Equipment_Cost_BP,Starting_Equipment_Kit_Type,Final_Pocket_Money_BP,Armes_et_Bouclier,Armure,Monture_et_Reste,Combat_Points,Magic,Magic_Type,Magic_Subtype,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00001,Dwarf,Gray Dwarf,Spine of the World,Isolated Hamlet,Groupe3_Coeur_Continental,Open Land Navigation | Confined Space Stealth | Underground Navigation | Technical Rock Climbing,Urban Observation and Tailing,"Cosmology (Weave, Shadow Weave) | Geography of Faerûn | History of the Realms | Major Religions & Deities",Navigation (Land & Sea),Nain,Illuskan | Infernal | Nain,21,293.4,universal_standard,0,Infantry Pavise + Arming Sword + Knife + Dagger,Aucune,Aucun,-4.06,YES,Arcanique,Magicien,-4,-3,2,-7,-2,121.8,49.1,-7,2,1,-2,3,-4,3,0,3,0,Invisibilité + Agrandissement,2026-05-31 23:57:03
CH-00002,Half-elf,Moon Half-elf,Baldur's Gate,Major Port City,Groupe1_Cote_des_Epees,,Black Market Operations | Urban Observation and Tailing | Streetwise (Urban Underworld) | Streetwise (Urban Underworld) | Fences and Buyers Network | Lockpicking and Trap Disarming,"Elven Culture | Ancient Realms (Netheril, Imaskar...) | Political Currents & Rivalries | Secret Organizations",High Court Intrigue & Politics | Locksmithing & Mechanisms | Cabinetmaking & Marquetry,Druidic | Elfique,Chondathan | Druidic | Elfique | Sylvestre,199,293.4,universal_standard,130,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Harnois de Brèche (128) + Plackart (2.5) + Tassets longs (3) + Sabatons larges (2.5),Aucun,-8.44,YES,Arcanique,Magicien,-4,-5,-2,-5,7,171.0,67.4,0,-1,-6,-9,3,3,-2,5,-6,-9,Méditation + Immunité sommeil + VN (N1),2026-05-31 23:57:03
CH-00003,Human,Illuskan,Icewind Dale,Mountain Village,Groupe5_Nord_Sauvage,Wild Animal Handling | Battlefield Riding | Oceanic Navigation | Storm and Seasickness Mastery | Deep-Sea Fishing,Streetwise (Urban Underworld),Guilds & Organizations | Genasi & Elemental Peoples | Geography of Faerûn | Legendary Artifacts & Relics,Masonry | Sail & Rope Making | Carpentry & Woodworking,Thorass,Illuskan | Reghed | Sossrim,20,293.4,universal_standard,0,Brocchiere + Composite Bow + Arming Sword + Knife,Aucune,Aucun,-3.78,YES,Sauvage,Magie Bleue,1,-1,-3,-2,1,172.3,78.9,0,0,-3,-2,-1,6,3,-2,-3,-4,Aucun,2026-05-31 23:57:03
CH-00004,Elf,Moon Elf,Cormanthor,Remote Monastery,Groupe3_Coeur_Continental,Forest Stealth | Shelter Construction | Wild Plant Foraging | Advanced Tracking,,"Major Religions & Deities | Cosmology (Weave, Shadow Weave)",Carpentry & Woodworking,None,Druidic | Elfique,41,293.4,universal_standard,0,Large Buckler + Halberd + Knife + Dagger,Aucune,Aucun,-7.98,YES,Arcanique,Magicien,-5,-5,-4,-3,5,168.0,63.9,0,-8,0,-2,-3,-5,2,-9,-7,-1,Transe + Immunité sommeil + VN (N2),2026-05-31 23:57:03
CH-00005,Human,Ffolk,Moonshae Isles,Isolated Hamlet,Groupe11_Moonshae,Oceanic Navigation | River Crossing | Coastal Survival | Dark Water Swimming,Temple Politics & Religious Intrigue,"History of Netheril | Trade Routes & Commerce | History of Magic | Festivals, Calendars & Traditions",Smithing & Metallurgy | Architecture,Illuskan | Thorass,Chondathan | Illuskan | Sossrim,35,293.4,universal_standard,0,Target Shield + Heavy Crossbow + Arming Sword + Dagger,Aucune,Aucun,6.96,NO,None,,4,1,0,-1,9,158.9,74.8,-1,5,3,-7,2,-3,-1,-2,-1,0,Aucun,2026-05-31 23:57:03
CH-00006,Half-elf,Moon Half-elf,Baldur's Gate,Major Port City,Groupe1_Cote_des_Epees,Wild Plant Foraging | Dark Water Swimming,Guild Knowledge & Politics | Criminal Organizations & Syndicates | Fences and Buyers Network | Forgery of Documents & Seals | Fences and Buyers Network,Spellplague & Its Aftermath | Gnomish Culture | Trade Routes & Commerce,Ritual Object Crafting | Papermaking & Ink Making | Navigation (Land & Sea),Elven High Speech,Chondathan | Elfique | Elven High Speech | Thorass,206,293.4,universal_standard,200,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Harnois de Brèche (128) + Plackart (2.5) + Tassets longs (3) + Sabatons larges (2.5),Aucun,5.64,NO,None,,2,0,1,0,11,183.4,87.7,2,-2,-1,-2,2,2,-1,-3,-5,-2,Méditation + Immunité sommeil + VN (N1),2026-05-31 23:57:03
CH-00007,Human,Sossrim,The Cold Lands,Remote Trading Post,Groupe3_Coeur_Continental,Extreme Cold Resistance | Arctic Hunting | Mountain Endurance | Technical Rock Climbing,Streetwise (Urban Underworld),Major Cities & Regions | Elven Culture | Magical Schools & Traditions,Forgery of Official Documents,Vaasan,Sossrim | Vaasan,27,293.4,universal_standard,2,Brocchiere + Composite Bow + Arming Sword + Dagger,Aucune,Aucun,-3.16,YES,Arcanique,Magicien,2,-1,-4,-3,4,167.7,83.2,0,-2,-4,-2,-2,10,-3,5,-5,-5,Aucun,2026-05-31 23:57:03
CH-00008,Human,Rashemi,Aglarond,Farming Hamlet,Groupe4_Vilhon_Est,Forest Stealth | Wild Plant Foraging | Shelter Construction,,Spellplague & Its Aftermath | Guilds & Organizations | Orc & Goblinoid Culture,Alchemy (Theory & Practice) | Dyeing & Textile Coloring,Aglarondan,Aglarondan | Rashemi,34,293.4,universal_standard,0,Brocchiere + Halberd + Rapier + Main-gauche + Knife,Aucune,Aucun,8.3,NO,None,,3,2,0,1,5,175.4,78.9,1,3,1,-1,1,11,3,12,0,0,Aucun,2026-05-31 23:57:03
CH-00009,Human,Chondathan,The Dalelands,Logging Camp,Groupe3_Coeur_Continental,Advanced Tracking | Wild Plant Foraging | Open Land Navigation | Plains Tracking,Disguise & Impersonation,Local Folklore & Legends | Trade Routes & Commerce | Court Etiquette & Protocol | Laws & Customs of Nations,Smithing & Metallurgy,Chondathan | Thorass,Chondathan | Cormyrian | Thorass,56,293.4,universal_standard,10,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Pourpoint (3) + Cervelière (2),Aucun,0.02,NO,None,,-2,-1,2,0,10,168.0,67.4,0,-2,2,3,1,-2,-4,0,0,3,Aucun,2026-05-31 23:57:03
CH-00010,Human,Chondathan,The Dalelands,Remote Trading Post,Groupe3_Coeur_Continental,Plains Tracking | Wild Plant Foraging | Advanced Tracking | Forest Stealth,,Major Cities & Regions | Gnomish Culture | Major Religions & Deities | Dragon Lore,Ritual Object Crafting,Chondathan,Chondathan | Elfique,64,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Jack of Plates (6) + Bascinet (5) + Besagews (1) + Gorget (2),Aucun,5.04,NO,None,,1,1,-2,3,6,166.5,63.9,0,3,10,-5,-2,7,-3,2,0,8,Aucun,2026-05-31 23:57:03
