ID,Level,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Final_Pocket_Money_BP,Armes_et_Bouclier,Prebuilt_Kit_Tier,Prebuilt_Kit_Cost_Sp,Combat_Points,Magic,Magic_Type,Magic_Subtype,Magic_And_Spells,God,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00001,1,Human,Tethyrian,The Dalelands,Rural Village,Groupe3_Coeur_Continental,Plains Tracking | Wild Plant Foraging | Littoral Foraging | Forest Stealth | Complex Terrain Navigation,Urban Observation and Tailing,Dragon Lore | History of the Realms | Orc & Goblinoid Culture,Magical Goldsmithing (Theoretical),Druidic,Chondathan | Druidic | Tethyrian,50,30,"Aketon, Short bow, Arrows",Kit 09,47.0,19.12,NO,None,,,Waukeen,5,4,0,2,1,181.7,87.7,1,5,1,2,0,7,3,6,3,1,Aucun,2026-06-08 21:37:43
CH-00002,1,Human,Ffolk,Nelanther Isles,Major Port City,Groupe3_Coeur_Continental,Deep-Sea Fishing,Lockpicking and Trap Disarming | Urban Observation and Tailing | Streetwise (Urban Underworld) | Disguise & Impersonation | Fences and Buyers Network,Spellplague & Its Aftermath | Ruins & Major Archaeological Sites | Geography of Faerûn | Laws & Customs of Nations,Navigation (Land & Sea),Chondathan,Chondathan | Elfique,62,30,"Aketon, Cervelliere, Lance",Kit 13,59.0,4.64,NO,None,,,Talos,0,1,1,2,7,166.4,67.4,0,1,6,3,-1,2,-4,0,3,7,Aucun,2026-06-08 21:37:43
CH-00003,1,Human,Chondathan,Western Heartlands,Rural Village,Groupe3_Coeur_Continental,Underground Navigation | Desert Water Mastery | Open Land Navigation | Plains Tracking | Advanced Tracking,,Magical Schools & Traditions | Elven Culture | Political Currents & Rivalries,Smithing & Metallurgy | Dyeing & Textile Coloring,Chessentan,Chessentan | Chondathan | Thorass,50,30,"Aketon, Short bow, Arrows",Kit 09,47.0,13.24,NO,None,,,Chauntea,4,2,1,2,7,186.8,83.2,2,1,5,-5,2,-4,4,6,-4,3,Aucun,2026-06-08 21:37:43
CH-00004,1,Human,Tethyrian,Western Heartlands,Rural Village,Groupe3_Coeur_Continental,Wild Plant Foraging | Advanced Tracking | Oceanic Navigation | Rope Making and Knot Mastery | Littoral Foraging | Forest Stealth,,Nobility & Heraldry | Elven Culture | Laws & Customs of Nations | Major Religions & Deities,Carpentry & Woodworking | Smithing & Metallurgy,Elfique | Chondathan,Chondathan | Elfique | Tethyrian | Thorass,44,90,"Gambeson, Small Targe, Knife, Javelin",Kit 07,35.0,1.04,NO,None,,,Lathander,-1,-1,3,-2,12,165.0,67.4,-1,3,-2,-4,5,-7,-1,6,0,-4,Aucun,2026-06-08 21:37:43
CH-00005,1,Human,Chondathan,Vilhon Reach,Fishing Village,Groupe4_Vilhon_Est,Plains Tracking | Advanced Tracking | Arctic Hunting,High Society Manipulation | Disguise & Impersonation,Nobility & Heraldry | Aberration Lore | Orc & Goblinoid Culture | Magical Schools & Traditions,Architecture | Accounting & Estate Management | Masonry,Chondathan,Chondathan,62,30,"Aketon, Cervelliere, Lance",Kit 13,59.0,-4.78,YES,Théurgique,Magie Verte,,Eldath,-3,-1,-2,0,5,174.1,67.4,0,-4,2,2,-3,-3,-8,-4,-2,2,Aucun,2026-06-08 21:37:43
CH-00006,1,Human,Calishite,Calimshan,Major Port City,Groupe2_Sud_Marchand,,Sleight of Hand & Cheating | Urban Stealth & Shadowing | Streetwise (Urban Underworld) | Smuggling Networks | Temple Politics & Religious Intrigue | Urban Observation and Tailing,Nobility & Heraldry | Major Cities & Regions | Political Currents & Rivalries,Weapons & Armor Smithing | Animal Husbandry & Training | Preservation & Salting,Thorass,Calishite | Chondathan | Thorass,202,80,"Aketon, Mail Haubergeon, Kettle Hat, Reinforced Spear, Great Targe, Dagger",Kit 35,194.0,2.5,NO,None,,,Selûne,3,0,-3,0,12,177.0,83.2,1,1,2,-8,0,-3,2,-4,-6,-1,Aucun,2026-06-08 21:37:43
CH-00007,1,Human,Turami,Chondath,Rural Village,Groupe4_Vilhon_Est,Marsh Disease Resistance | River Crossing | Coastal Survival | Dark Water Swimming | Oceanic Navigation,,Cultural Interactions | Court Etiquette & Protocol | Local Folklore & Legends,Forgery of Official Documents | Leatherworking & Tanning,Turami,Chondathan | Infernal | Thorass | Turami,74,10,"Gambeson, Archer Bracer, Longbow, Arrows",Kit 18,73.0,12.36,NO,None,,,Deneir,3,3,-2,3,2,178.6,78.9,1,5,0,4,-3,3,5,3,5,1,Aucun,2026-06-08 21:37:43
CH-00008,1,Human,Mulan,Old Empires,Large Town,Groupe12_Old_Empires,Mountain Endurance | Marsh Disease Resistance,Sleight of Hand & Cheating | Black Market Operations | Disguise & Impersonation,History of the Realms | Religious Cults & Orders | Trade Routes & Commerce,Lens Making & Optics | Smithing & Metallurgy | Shipbuilding,Untheric,Mulhorandi | Thayan | Untheric,70,0,"Reinforced Gambeson (long), Kettle Hat, Reinforced Spear, Buckler",Kit 17,70.0,2.04,NO,None,,,Velsharoon,-2,-1,3,0,13,186.8,78.9,2,-9,1,4,2,8,-7,-2,-6,2,Aucun,2026-06-08 21:37:43
CH-00009,1,Human,Illuskan,Luskan,Fishing Village,Groupe1_Cote_des_Epees,Savanna Plant Knowledge | Oceanic Navigation | Storm and Seasickness Mastery | Deep-Sea Fishing | Total Darkness Navigation,Streetwise (Urban Underworld),Trade Routes & Commerce | Cultural Interactions | Ruins & Major Archaeological Sites | History of the Realms,Navigation (Land & Sea),Reghed | Illuskan,Illuskan | Reghed,34,10,"Gambeson, Heater Shield",Kit 06,33.0,-10.5,YES,Théurgique,Magie Verte,,Silvanus,-5,-5,-3,-3,9,177.3,67.4,1,-6,-3,-5,0,-1,-4,-8,-8,-5,Aucun,2026-06-08 21:37:43
CH-00010,1,Half-orc,Half-Orc,Spine of the World,Isolated Hamlet,Groupe3_Coeur_Continental,Advanced Tracking | Hermetic Medicine | Mountain Endurance,Streetwise (Urban Underworld) | Guild Knowledge & Politics,Laws & Customs of Nations | History of Magic,Masonry | Cabinetmaking & Marquetry | Locksmithing & Mechanisms,None,Illuskan | Northlander | Orc,17,170,Aucun (capital < kit le moins cher),,0.0,13.54,NO,None,,,Yurtrus,7,1,-5,-2,9,168.8,108.2,0,-8,2,0,-5,4,4,-10,-11,2,Force brutale + Vision dans le noir N1,2026-06-08 21:37:43
