ID,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Starting_Equipment_Cost_BP,Starting_Equipment_Kit_Type,Post_Kit_Tier,Post_Kit_Tier_Name,Post_Kit_Purchases,Post_Kit_Total_Spent_BP,Final_Pocket_Money_BP,Armes_et_Armures,Autre_Equipement,Combat_Points,Magic,Magic_Type,Magic_Subtype,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00001,Human,Calishite,Calimshan,Metropolis,Groupe2_Sud_Marchand,Open Land Navigation,Black Market Operations | Streetwise (Urban Underworld) | Streetwise (Urban Underworld) | Urban Observation and Tailing | Criminal Organizations & Syndicates | Black Market Operations,Gnomish Culture | Ruins & Major Archaeological Sites | Geography of Faerûn | Laws & Customs of Nations,Stone & Wood Carving | Candle & Soap Making | Lens Making & Optics,Chondathan | Mulhorandi,Chondathan | Halruaan | Mulhorandi | Tashalan,4479,293.4,universal_standard,3,Wealthy,Destrier (quality) | Simple Breastplate | Longbow | Rouncey | Quiver,4290.0,189,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Destrier (quality) | Simple Breastplate | Longbow | Quiver,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather) | Rouncey,2.64,NO,None,,1,0,2,-1,8,152.1,67.4,-2,0,6,-4,3,-1,0,-4,-2,4,Aucun,2026-05-28 13:35:34
CH-00002,Human,Illuskan,Neverwinter,Small Town,Groupe1_Cote_des_Epees,Oceanic Navigation | Deep-Sea Fishing,Temple Politics & Religious Intrigue | Lockpicking and Trap Disarming | Guild Knowledge & Politics,"History of the Realms | Religious Cults & Orders | Cosmology (Weave, Shadow Weave) | Major Cities & Regions",Smithing & Metallurgy | Cabinetmaking & Marquetry,Illuskan,Illuskan,750,293.4,universal_standard,1,Modest,Plackart,400.0,350,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Plackart,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),2.18,NO,None,,4,-1,-3,-2,14,200.2,108.2,3,-5,-5,-8,1,-2,9,-9,-13,-8,Aucun,2026-05-28 13:35:34
CH-00003,Dwarf,Shield Dwarf,Citadel Adbar,Underdark City,Groupe6_Bloc_Nain,Technical Rock Climbing | Mountain Endurance | Hermetic Medicine,Guild Knowledge & Politics | Urban Stealth & Shadowing | Disguise & Impersonation | Streetwise (Urban Underworld) | Disguise & Impersonation | Temple Politics & Religious Intrigue,Geography of Faerûn | Major Religions & Deities | Fall of Myth Drannor | Court Etiquette & Protocol,Masonry,Undercommon | Nain,Nain | Undercommon,1035,293.4,universal_standard,1,Modest,Padded Jack,850.0,185,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Padded Jack,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),2.48,NO,None,,2,0,0,-3,9,136.5,71.0,-4,-6,9,1,-2,7,-4,4,-5,9,Vision dans le noir + Robustesse naine,2026-05-28 13:35:34
CH-00004,Human,Chondathan,Chondath,Small Town,Groupe4_Vilhon_Est,Littoral Foraging | Oceanic Navigation | Coastal Survival,Urban Observation and Tailing | Streetwise (Urban Underworld) | Lockpicking and Trap Disarming | Information Brokerage,Ruins & Major Archaeological Sites | Court Etiquette & Protocol | Laws & Customs of Nations,Carpentry & Woodworking,Turmish,Chondathan | Turmish,1795,293.4,universal_standard,2,Comfortable,Kettle hat | Mace | Pike,1060.0,735,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Mace | Pike,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather) | Kettle hat,24.25,NO,None,,2,3,6,3,-1,185.2,78.9,2,3,0,6,4,3,3,8,5,2,Aucun,2026-05-28 13:35:34
CH-00005,Human,Chondathan,Western Heartlands,Rural Village,Groupe3_Coeur_Continental,Complex Terrain Navigation | Marsh Disease Resistance | Open Land Navigation | Advanced Tracking | Plains Tracking | Total Darkness Navigation,,"Laws & Customs of Nations | Nobility & Heraldry | Lost Kingdoms & Cities | Cosmology (Weave, Shadow Weave)",Clockmaking & Complex Mechanisms | Viticulture & Winemaking | Navigation (Land & Sea),Turmish | Chondathan,Chondathan | Elfique | Turmish,864,293.4,universal_standard,0,None,Buckler,220.0,644,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Buckler,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),-3.24,YES,Théurgique,Magie Blanche,-4,-2,2,-2,0,162.1,60.6,-1,0,-1,0,3,-2,1,2,1,-1,Aucun,2026-05-28 13:35:34
CH-00006,Human,Damaran,Silver Marches (Luruar),Isolated Hamlet,Groupe7_Marches_Argent,Mountain Endurance | Technical Rock Climbing | Complex Terrain Navigation,,Local Folklore & Legends | Major Religions & Deities | Political Currents & Rivalries | Court Etiquette & Protocol,Smithing & Metallurgy | Masonry,Damaran | Thorass,Damaran | Reghed,541,293.4,universal_standard,0,None,"Backpack (medium leather) | Lancet, bleeding",6.0,535,"Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Lancet, bleeding",Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather) | Backpack (medium leather),7.28,NO,None,,2,1,2,1,7,167.7,78.9,0,-4,4,5,0,6,-2,2,-2,5,Aucun,2026-05-28 13:35:34
CH-00007,Human,Tethyrian,Tethyr,Large Town,Groupe2_Sud_Marchand,Desert Water Mastery | Plains Tracking,Guild Knowledge & Politics | Sleight of Hand & Cheating | Lockpicking and Trap Disarming,Major Cities & Regions | History of the Realms | Geography of Faerûn,Accounting & Estate Management | Sail & Rope Making,Chondathan,Chondathan | Halruaan,2171,293.4,universal_standard,2,Comfortable,Destrier | Tassets longs | Buckler,2000.0,171,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Destrier | Tassets longs | Buckler,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),-1.22,NO,None,,-4,-2,3,-2,12,171.0,67.4,0,0,-7,5,3,-1,-3,-2,3,-6,Aucun,2026-05-28 13:35:34
CH-00008,Human,Chondathan,Chondath,Large Town,Groupe4_Vilhon_Est,Dark Water Swimming | River Crossing,Urban Stealth & Shadowing | City Secrets & Hidden Routes | Fences and Buyers Network | Poison Lore & Subtle Application,"Dwarven Culture | Major Cities & Regions | Court Etiquette & Protocol | Festivals, Calendars & Traditions",Carpentry & Woodworking | Glassworking | Weapons & Armor Smithing,Chondathan,Chondathan | Illuskan | Infernal,1970,293.4,universal_standard,1,Modest,Tassets | Tassets longs,730.0,1240,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Tassets | Tassets longs,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),-1.0,NO,None,,0,0,-1,0,10,173.9,74.8,0,-2,1,2,-1,-8,2,1,-1,1,Aucun,2026-05-28 13:35:34
CH-00009,Human,Tethyrian,Amn,Large Town,Groupe2_Sud_Marchand,Wild Plant Foraging | Advanced Tracking | Forest Stealth,Black Market Operations | Urban Observation and Tailing | Lockpicking and Trap Disarming,Nobility & Heraldry | Ruins & Major Archaeological Sites | Fall of Myth Drannor | Magical Schools & Traditions,Rare Dye Making,Tethyrian | Chessentan,Chessentan | Tethyrian,2116,293.4,universal_standard,2,Comfortable,Light Crossbow | Plackart | Ranseur | Quiver,1490.0,626,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Light Crossbow | Plackart | Ranseur | Quiver,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),-5.26,YES,Arcanique,Magicien,0,-2,-1,-4,5,172.2,83.2,0,-4,-7,1,1,0,-1,4,-5,-7,Aucun,2026-05-28 13:35:34
CH-00010,Human,Tethyrian,Amn,Major Trade City,Groupe2_Sud_Marchand,Forest Stealth | Desert Water Mastery,Forgery of Documents & Seals | Smuggling Networks | Lockpicking and Trap Disarming | Urban Observation and Tailing | Noble Houses & Court Intrigue | Urban Stealth & Shadowing,Guilds & Organizations | Geography of Faerûn | Religious Cults & Orders | Trade Routes & Commerce,Accounting & Estate Management | Heraldry & Lineage | Jewelry & Goldsmithing,Chondathan | Chessentan,Chessentan | Chondathan,3589,293.4,universal_standard,1,Modest,Bevor | Plate chanfron,415.0,3174,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Bevor | Plate chanfron,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),-1.51,NO,None,,1,1,-6,0,6,161.8,74.8,-1,-2,1,8,-8,9,2,2,2,3,Aucun,2026-05-28 13:35:34
CH-00011,Gnome,Rock Gnome,Waterdeep,Military Outpost,Groupe1_Cote_des_Epees,Littoral Foraging | Underground Navigation | Technical Rock Climbing | Deep-Sea Fishing,Disguise & Impersonation | Urban Stealth & Shadowing,Laws & Customs of Nations | Spellplague & Its Aftermath | Divine Myths & Legends | Secret Organizations,Architecture,Gnomish,Chondathan | Druidic | Gnomish | Thorass,3184,293.4,universal_standard,3,Wealthy,Longbow | Maille collerette ou manches | Rouncey | Destrier | Tassets | Buckler | Quiver,2880.0,304,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Longbow | Maille collerette ou manches | Destrier | Tassets | Buckler | Quiver,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather) | Rouncey,10.41,NO,None,,-12,-3,8,-2,-4,118.0,29.0,-7,10,7,5,5,0,-1,5,19,8,Vision nocturne N1,2026-05-28 13:35:34
CH-00012,Human,Tethyrian,Amn,Rural Village,Groupe2_Sud_Marchand,Desert Water Mastery | Forest Stealth | Desert Thermal Endurance | Open Land Navigation | Field Weapon Maintenance | Advanced Tracking,Streetwise (Urban Underworld) | Urban Observation and Tailing,Laws & Customs of Nations | Lost Kingdoms & Cities,Weapons & Armor Smithing | Beekeeping,Thorass,Chessentan | Chondathan | Cormyrian | Thorass,1730,293.4,universal_standard,2,Comfortable,Close Helmet (Maximilian) | Courser,1595.0,135,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Close Helmet (Maximilian),Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather) | Courser,-7.44,YES,Arcanique,Magicien,-3,-4,0,-4,9,170.8,74.8,0,-5,-7,-2,3,-3,-7,0,-6,-8,Aucun,2026-05-28 13:35:34
CH-00013,Human,Chondathan,The Dalelands,Rural Village,Groupe3_Coeur_Continental,Open Land Navigation | Complex Terrain Navigation | Forest Stealth | Plains Tracking | Wild Plant Foraging | Advanced Tracking,,Geography of Faerûn | Dragon Lore | Magical Schools & Traditions | Fall of Myth Drannor,Masonry | Bookbinding,Cormyrian | Chondathan,Chondathan | Cormyrian | Illuskan,1036,293.4,universal_standard,1,Modest,Chain crinet | Grappling hook | Buckler,637.0,399,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Chain crinet | Grappling hook | Buckler,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),10.56,NO,None,,2,2,2,2,3,180.2,78.9,1,0,3,2,1,4,8,6,0,3,Aucun,2026-05-28 13:35:34
CH-00014,Human,Illuskan,Luskan,Major Port City,Groupe1_Cote_des_Epees,,Urban Stealth & Shadowing | High Society Manipulation | Urban Stealth & Shadowing | Urban Observation and Tailing | Noble Houses & Court Intrigue | Guild Knowledge & Politics,Major Cities & Regions | Ruins & Major Archaeological Sites | Genasi & Elemental Peoples | Guilds & Organizations,Candle & Soap Making | Clockmaking & Complex Mechanisms,Illuskan | Thorass,Géant | Illuskan | Northlander,1587,293.4,universal_standard,1,Modest,Close Helmet (Maximilian) | Gorget (élevé),900.0,687,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Close Helmet (Maximilian) | Gorget (élevé),Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),-12.1,YES,Théurgique,Magie Verte,-4,-4,-9,-3,4,175.6,71.0,1,-3,-7,-3,-6,7,7,-13,-5,-8,Aucun,2026-05-28 13:35:34
CH-00015,Human,Chondathan,Vilhon Reach,Fishing Village,Groupe4_Vilhon_Est,Shelter Construction | Advanced Tracking | Weather Reading | Rope Making and Knot Mastery | Game Butchering and Preservation | Open Land Navigation,,Dragon Lore | Nobility & Heraldry | Laws & Customs of Nations,Masonry | Cooking (Fine Cuisine) | Alchemy (Theory & Practice),Illuskan,Chondathan | Cormyrian | Illuskan,1201,293.4,universal_standard,0,None,Buckler,220.0,981,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Buckler,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),-2.62,YES,Arcanique,Magicien,-2,-1,1,-1,-4,160.6,63.9,-1,1,-1,1,1,0,9,2,2,-1,Aucun,2026-05-28 13:35:34
