ID,Indice,Race,Ethnicity,Origin_Region,Settlement_Type,Bonus_Languages,Magic_Type,Combat_Points,Grappling,Melee,Fencing,Skill_Modifier,Projectiles,Weight_Score,Build_Score,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Regeneration,Vigilance,Beauty,Stealth,Speed,Dodge,Climbing,Magic,Magic_Subtype,Magic_Description,Special,Skills
CH-00001,4,Human,Illuskan,Le Nord (The North),Village de montagne,,Arcanique,"-9,03",-5,-3,-2,1,-3,-1,-2,"169,5","67,4",0,-8,-3,5,-4,-1,-3,8,9,-3,-2,0,-2,YES,Magicien,Arcaniste (magie savante),Aucun,"Chasse et pistage en milieu arctique
Pêche en haute mer et survie aquatique"
CH-00002,145,Human,Ulutiun,The Thunder Peaks,Hameau isolé,,None,"61,85",12,7,5,-5,3,11,-1,"207,3","126,8",4,4,1,2,3,-5,-6,2,8,-2,1,-1,-1,NO,,Non-magique,Aucun,"Pêche en haute mer et survie aquatique
Résistance au froid extrême et hypothermie"
CH-00003,15,Dwarf,Shield Dwarf,Silver Marches (Luruar),Village forestier,,Théurgique,"-3,97",2,-2,-5,4,-7,1,18,"146,6","74,8",-3,-3,1,-5,-5,1,-1,-2,-1,-6,-1,-4,-1,YES,Théurgiste,Théurgiste (magie divine instinctive),Vision dans le noir + Robustesse naine,"Résistance au froid extrême et hypothermie
Marche en montagne et portage en altitude"
CH-00004,7,Human,Tethyrian,Baldur's Gate,Bourg / Petite ville,,Théurgique,"-5,78",-1,-1,-2,3,-3,0,-3,"174,0","71,0",0,2,-2,-5,0,-3,-2,2,-4,-2,-4,-1,-2,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,"Équitation
Manipulation de pièges et serrures"
CH-00005,138,Human,Uthgardt,Sword Coast,Poste de commerce isolé,,Arcanique,"-8,91",-4,-3,-2,1,-5,-1,-3,"171,0","67,4",0,-7,1,-1,-4,7,-7,7,-2,-6,0,0,-2,YES,Magicien,Arcaniste (magie savante),Aucun,"Pistage et chasse en milieu ouvert
Marche en montagne et portage en altitude"
CH-00006,16,Dwarf,Gold Dwarf,Great Rift,Hameau isolé,,None,"9,94",-6,-4,-8,3,8,-8,31,"111,3","46,6",-9,-4,4,4,6,-4,4,3,2,3,5,1,3,NO,,Non-magique,Vision dans le noir + Robustesse naine,"Réseautage et recherche d’informations urbaines
Médecine"
CH-00007,4,Human,Illuskan,Sword Coast,Grande Ville portuaire,,None,"23,36",7,4,3,1,-6,4,1,"180,1","87,7",1,10,1,-3,-5,-3,5,4,4,4,0,1,1,NO,,Non-magique,Aucun,"Navigation en relief montagneux
Résistance au froid extrême et hypothermie"
CH-00008,3,Human,Damaran,Moonsea,Ville fortifiée,,Arcanique,"-7,33",-1,-2,-2,6,-5,1,0,"172,3","74,8",0,-7,3,-4,-4,4,3,-4,-1,-9,1,-4,-4,YES,Magicien,Arcaniste (magie savante),Aucun,"Marche en montagne et portage en altitude
Navigation en relief montagneux"
CH-00009,132,Human,Shaaran,Uthgardt Tribes,Tribu nomade,,None,"4,64",1,1,2,6,0,1,-3,"177,0","74,8",1,0,4,-1,0,5,5,3,7,-2,3,1,0,NO,,Non-magique,Aucun,"Équitation
Pistage et chasse en milieu ouvert"
CH-00010,7,Human,Tethyrian,Amn,Grande Ville marchande,,None,"7,43",-2,-2,-2,10,6,0,-3,"174,0","71,0",0,0,-3,-4,8,-3,-3,3,2,-3,-5,-1,-3,NO,,Non-magique,Aucun,"Cueillette et connaissance des plantes forestières
Équitation"
