ID,Level,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Magic_Item_Capital,Final_Pocket_Money_BP,Armes_et_Bouclier,Prebuilt_Kit_Tier,Prebuilt_Kit_Cost_Sp,Prebuilt_Kit_Source,Combat_Points,Magic,Magic_Type,Magic_Subtype,Magic_And_Spells,God,Grappling,Melee,Projectiles,Fencing,Reach,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00001,1,Human,Tethyrian,Western Heartlands,Small Town,Groupe3_Coeur_Continental,Advanced Tracking | Wild Plant Foraging,Guild Knowledge & Politics | Urban Observation and Tailing | Urban Stealth & Shadowing | Streetwise (Urban Underworld),Elven Culture | Nobility & Heraldry | Cultural Interactions | Major Cities & Regions,Masonry | Animal Husbandry & Training,Elfique | Thorass,Chondathan | Elfique,662,569,80,"Courser, War Saddle, Bit & Bridle, Arming Doublet, Mail Voiders, Breastplate, Backplate, Vambraces, Couters, Armet, Lance, Broadsword, Dagger | Potion of Healing (Common) (500 sp) | Dawn Thread (Common) (40 sp) | Ammunition + (Common) (10 sp)",Kit 94,654.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,10.54,NO,None,,,Waukeen,5,2,-2,0,0,9,173.8,83.2,0,3,3,-2,-1,-2,-6,6,-1,2,Aucun,2026-06-24 12:00:42
CH-00002,1,Human,Lantanna,Waterdeep,Metropolis,Groupe1_Cote_des_Epees,Coastal Survival,City Secrets & Hidden Routes | Disguise & Impersonation | Urban Stealth & Shadowing,Genasi & Elemental Peoples | Spellplague & Its Aftermath | Guilds & Organizations | Ruins & Major Archaeological Sites,Smithing & Metallurgy,Chondathan | Thorass,Chondathan | Illuskan | Lantanna,2396,0,8160,"Arming Doublet, Mail Voiders, Breastplate, Backplate (hardened), Vambraces, Couters, Gauntlets, Cuisses, Sallet, Longbow, Arrows (24 / double sheaf), Longsword, Dagger",Kit 130,1580.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,14.09,NO,None,,,Oghma,-3,0,7,1,-2,1,156.4,60.6,-2,-2,4,9,4,2,0,-3,5,7,Aucun,2026-06-24 12:00:42
CH-00003,1,Elf,Sun Elf,Evermeet,Forest Village,Groupe13_Evermeet,Mountain Endurance | Deep-Sea Fishing | Oceanic Navigation | Complex Terrain Navigation,,Spellplague & Its Aftermath | Magical Schools & Traditions | Divine Myths & Legends | Nobility & Heraldry,Architecture | Smithing & Metallurgy | Cooking (Fine Cuisine),Elfique | Sylvestre,Elfique | Sylvestre,757,521,380,"Destrier, War Saddle, Bit & Bridle, Arming Doublet, Mail Voiders, Breastplate, Vambraces, Couters, Bascinet, Lance, Bastard sword, Dagger | Book of the Devout Hours (Uncommon) (450 sp) | Bead of Nourishment (Common) (30 sp) | Ammunition + (Common) (10 sp)",Kit 96,719.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,16.93,NO,None,,,Mystra,6,2,-1,0,4,14,205.6,114.1,4,-2,-7,-4,2,1,-6,0,-9,-9,Transe + Immunité sommeil + VN (N2),2026-06-24 12:00:42
CH-00004,1,Human,Rashemi,Uthgardt Tribes,Nomad Camp,Groupe3_Coeur_Continental,Forest Stealth | Hermetic Medicine | Marsh Movement | Wild Plant Foraging,,Geography of Faerûn | Political Currents & Rivalries | Gnomish Culture,Cooking (Fine Cuisine) | Accounting & Estate Management | Herbalism & Potion Brewing,Illuskan,Illuskan | Northlander | Rashemi,533,633,40,"Arming Doublet, Mail Voiders, Composite Bow, Arrows (12), Arming Sword, Dagger, Brigandine, Vambraces, Couters, Sallet, Great Buckler, Archer Bracer, Pavise (35)  # pro ranged kit completed with armor, limbs, sidearm & ammo for company use | Book of the Devout Hours (Uncommon) (450 sp) | Signet Ring of the Firm Grip (Uncommon) (180 sp)",Kit 88,529.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,8.6,NO,None,,,Mielikki,4,2,-1,0,2,13,183.1,102.7,2,-5,-4,2,0,4,-5,3,-7,-4,Aucun,2026-06-24 12:00:42
CH-00005,1,Elf,Sea Elf,Evermeet,Elven Enclave,Groupe13_Evermeet,Deep-Sea Fishing | Littoral Foraging,City Secrets & Hidden Routes | Disguise & Impersonation | Urban Stealth & Shadowing | Forgery of Documents & Seals | Streetwise (Urban Underworld) | Guild Knowledge & Politics,Major Cities & Regions | Local Folklore & Legends | Spellplague & Its Aftermath | Divine Myths & Legends,Carpentry & Woodworking,Auran | Thorass,Auran | Chondathan | Elfique,1003,398,230,"Courser, War Saddle, Bit & Bridle, Arming Doublet, Mail Voiders, Breastplate, Backplate, Vambraces, Couters, Sallet, Heavy Crossbow, Heavy Crossbow Bolts (18), Pavise, Arming Sword, Dagger | Dragon's Breath (Uncommon) (380 sp) | Ammunition + (Common) (10 sp)",Kit 122,980.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,-0.03,NO,None,,,Sehanine,-6,-3,2,0,-2,8,152.5,49.1,-2,3,2,4,1,4,-8,8,8,3,Respiration aquatique,2026-06-24 12:00:42
CH-00006,1,Human,Calishite,Calimshan,Large Town,Groupe2_Sud_Marchand,Plains Tracking,Forgery of Documents & Seals | High Society Manipulation | Information Brokerage | Streetwise (Urban Underworld),Divine Myths & Legends | Trade Routes & Commerce | Nobility & Heraldry,Perfumery & Cosmetics,Mulhorandi,Chondathan | Lantanna | Mulhorandi | Thorass,1253,273,3530,"Dragon Scale Brigandine, Glaive, Composite Bow, Arrows, Courser, War Saddle, Bit & Bridle | Brooch of Heraldic Display (Uncommon) (260 sp) | Ammunition + (Common) (10 sp)",Kit 100,900.0,100_Kits_Druide_Complete_100kits.txt,-14.94,YES,Théurgique,Magie Verte,,Chauntea,-17,-13,2,-8,-6,2,126.7,32.2,-6,-4,-1,-2,3,-3,3,2,3,-2,Aucun,2026-06-24 12:00:42
CH-00007,1,Human,Illuskan,Neverwinter,Major Port City,Groupe1_Cote_des_Epees,,Streetwise (Urban Underworld) | Urban Observation and Tailing | Criminal Organizations & Syndicates | Sleight of Hand & Cheating,"Festivals, Calendars & Traditions | History of Imaskar | Laws & Customs of Nations | Lost Kingdoms & Cities",Carpentry & Woodworking,Illuskan,Illuskan,772,514,1320,"Brigandine, Armet, Heavy Crossbow, Heavy Crossbow Bolts, Rondel Dagger, Arming Doublet, Mail Voiders, Vambraces, Couters, Sallet, Arming Sword, Great Buckler, Archer Bracer, Pavise (35)  # pro ranged kit completed with armor, limbs, sidearm & ammo for company use | Mirror of Souls (Uncommon) (440 sp) | Ammunition + (Common) (10 sp) | Sealing Wax (Common) (40 sp)",Kit 77,640.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,-3.07,NO,None,,,Sune,-5,-2,2,-1,-1,11,163.6,60.6,-1,-6,1,5,1,1,-3,-2,-1,2,Aucun,2026-06-24 12:00:42
CH-00008,1,Human,Damaran,Vaasa,Isolated Farmstead,Groupe5_Nord_Sauvage,Mountain Endurance | Marsh Movement | Wild Plant Foraging | Complex Terrain Navigation,Noble Houses & Court Intrigue,Divine Myths & Legends | Nobility & Heraldry | Court Etiquette & Protocol,Sail & Rope Making | Weapons & Armor Smithing,Reghed,Chondathan | Reghed,490,655,20,"Arming Doublet, Mail Haubergeon, Jack of Plates, Vambraces, Couters, Gauntlets, Sallet, Bec de Corbin, Dagger | Potion of Healing (Common) (500 sp) | Whisper of the Woods (Common) (140 sp) | Ammunition + (Common) (10 sp)",Kit 79,488.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,-16.71,YES,Théurgique,Magie Blanche,,Tyr,-8,-7,-10,-6,-3,7,149.8,49.1,-3,-1,1,-8,-7,-4,-3,0,-3,-2,Aucun,2026-06-24 12:00:42
CH-00009,1,Human,Netherese,Anauroch,Rural Village,Groupe3_Coeur_Continental,Storm and Seasickness Mastery | Wetland Tracking | Forced March Endurance | Mountain Endurance | Technical Rock Climbing | Underground Navigation,Urban Stealth & Shadowing | Urban Observation and Tailing,Geography of Faerûn | Weave Theory | Religious Cults & Orders | Major Religions & Deities,Accounting & Estate Management | Weaving & Spinning | Embroidery & Fine Sewing,Shaaran,Chondathan | Céleste | Netherese | Shaaran,414,693,0,"Arming Doublet, Mail Voiders, Breastplate, Backplate, Armet, Longsword, Great Buckler, Dagger, Knife | Potion of Animal Friendship (Uncommon) (500 sp) | Signet Ring of the Firm Grip (Uncommon) (180 sp) | Ammunition + (Common) (10 sp)",Kit 73,414.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,24.44,NO,None,,,None,5,4,1,4,2,2,190.1,87.7,2,6,1,1,1,-4,2,2,3,1,Aucun,2026-06-24 12:00:42
CH-00010,1,Dwarf,Shield Dwarf,Citadel Adbar,Mountain Village,Groupe6_Bloc_Nain,Underground Navigation | Extreme Cold Resistance | Technical Rock Climbing | Hermetic Medicine,Black Market Operations,Trade Routes & Commerce | Guilds & Organizations | Cultural Interactions,Navigation (Land & Sea),Nain,Illuskan | Nain,415,692,0,"Gambeson, Short bow, Arrows (12), Dual buckler, Dagger, Arming Doublet, Mail Voiders, Brigandine, Vambraces, Couters, Sallet, Arming Sword, Great Buckler, Archer Bracer, Pavise (35)  # pro ranged kit completed with armor, limbs, sidearm & ammo for company use | Porter's Belt (Uncommon) (420 sp) | Falcon Hood of Serene Patience (Uncommon) (270 sp)",Kit 72,415.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,4.64,NO,None,,,None,4,0,-3,-3,-2,9,150.5,83.2,-2,-4,3,0,-3,-2,2,-2,-5,3,Vision dans le noir + Robustesse naine,2026-06-24 12:00:42
