SANE MAGIC MARKET : PRIX 2024 (Version XVe siècle adaptée) : TOUT EN SP
===================================================================================
Source : Sane Magic Market (D&D 2024)
Généré : Juin 2026

=======================================================
CONSUMABLES
=======================================================
Bead of Nourishment (Common) : 30 sp
Potion of Poison (Uncommon) : 400 sp
Potion of Healing (Common) : 500 sp
Potion of Animal Friendship (Uncommon) : 500 sp
Philter of Love (Uncommon) : 550 sp
Potion of Climbing (Common) : 800 sp
Potion of Water Breathing (Uncommon) : 800 sp
Potion of Diminution (Rare) : 850 sp
Ammunition +1 (1x) (Uncommon) : 10 sp
Potion of Growth (Uncommon) : 1 200 sp
Potion of Greater Healing (Uncommon) : 1 400 sp
Dust of Dryness (Uncommon) : 1 500 sp
Potion of Mind Reading (Rare) : 1 500 sp
Oil of Slipperiness (Uncommon) : 1 600 sp
Elixir of Health (Rare) : 1 800 sp
Potion of Invisibility (Rare) : 1 800 sp
Potion of Gaseous Form (Rare) : 2 000 sp


=======================================================
COMBAT ITEMS
=======================================================
Armor of Vulnerability (Rare) : 800 sp
Wind Fan (Uncommon) : 1 000 sp
Berserker Axe (Rare) : 1 900 sp


=======================================================
NONCOMBAT ITEMS
=======================================================
Wand of Secrets (Uncommon) : 1 300 sp
Ring of Animal Influence (Rare) : 1 400 sp
Efficient Quiver (Uncommon) : 1 500 sp
Trident of Fish Command (Uncommon) : 1 600 sp
Eyes of Minute Seeing (Uncommon) : 1 800 sp


=======================================================
END OF LIST
=======================================================


::: NOUVEAUX OBJETS MAGIQUES (XV SIÈCLE) :::

1. Le Fil de l'Aube: 40 sp [Effet: Répare instantanément les accrocs | Aspect: Aiguille en acier bleui luisante]
2. Le Soupir de la Mer: 60 sp [Effet: Libère un air marin rafraîchissant | Aspect: Fiole en verre soufflé de Murano]
3. Le Verrou de la Nuit: 80 sp [Effet: Verrouille magiquement une porte 1h | Aspect: Clef en fer forgé ornée d'un croissant de lune]
4. La Flamme du Veilleur: 100 sp [Effet: Lanterne sans huile | Aspect: Lanterne en corne de bœuf vieilli]
5. Le Pacte de Sang: 120 sp [Effet: Encre indélébile luisante | Aspect: Dague en acier gravé servant de stylet]
6. Le Murmure des Bois: 140 sp [Effet: Attire les petits animaux | Aspect: Sifflet sculpté dans un os de cerf]
7. Le Pas du Voleur: 160 sp [Effet: Annule le bruit des pas | Aspect: Chaussons en feutre gris épais]
8. L'Oeil de la Tempête: 180 sp [Effet: Indique le danger | Aspect: Boussole en laiton massif avec aiguille agitée]
9. Le Bouclier de la Foi: 200 sp [Effet: +1 sauvegarde peur | Aspect: Médaillon d'étain frappé d'une symbole divin]
10. La Soif du Voyageur: 220 sp [Effet: Purifie l'eau | Aspect: Gourde en étain gravé de motifs aquatiques]
11. La Lame de Justice: 240 sp [Effet: Vibre près d'un menteur | Aspect: Épée courte de ville au pommeau simple]
12. Le Voile de Brume: 260 sp [Effet: Camouflage léger | Aspect: Cape en laine fine aux teintes grises]
13. Le Chant de l'Acier: 280 sp [Effet: Aiguisage parfait | Aspect: Pierre à aiguiser luisante de reflets bleus]
14. L'Écho des Montagnes: 300 sp [Effet: Son amplifié 2km | Aspect: Corne de chasse en corne polie]
15. La Main de l'Artisan: 320 sp [Effet: Facilite les réparations | Aspect: Gants en cuir souple ajustés]
16. Le Regard de l'Aigle: 340 sp [Effet: Vision nette 500m | Aspect: Monocle en cuivre avec lentille épaisse]
17. Le Sceau du Roi: 360 sp [Effet: Impose le respect | Aspect: Anneau en bronze massif très large]
18. Le Souffle du Dragon: 380 sp [Effet: Allume un feu sous pluie | Aspect: Briquet en fer avec étincelle persistante]
19. Le Pas du Fugitif: 400 sp [Effet: Ne laisse aucune trace | Aspect: Bottines de cavalier à semelles cloutées]
20. La Plume du Sage: 420 sp [Effet: Traduit le langage écrit | Aspect: Plume d'oie à la pointe dorée]
21. Le Cœur de Pierre: 440 sp [Effet: Protège des chutes | Aspect: Galet lisse parfaitement équilibré]
22. Le Miroir des Âmes: 440 sp [Effet: Révèle la fatigue | Aspect: Miroir de poche en argent terni]
23. La Ceinture du Porte:Faix: 420 sp [Effet: +1 capacité encomb. | Aspect: Ceinture de cuir large avec boucle en fer]
24. Le Sel de Vie: 400 sp [Effet: Conserve la nourriture | Aspect: Boîte en bois de cèdre sculpté]
25. Le Pain du Partage: 380 sp [Effet: Produit du pain quotidien | Aspect: Sac en lin brodé de blé]
26. La Lampe du Savant: 360 sp [Effet: Éclaire les textes anciens | Aspect: Bougie de cire longue et épaisse]
27. L'Épingle de Sûreté: 340 sp [Effet: Ferme l'armure | Aspect: Broche en argent robuste]
28. Le Peigne des Fées: 320 sp [Effet: Nettoie les cheveux | Aspect: Peigne en corne fine]
29. Le Gant du Palefrenier: 300 sp [Effet: Calme les montures | Aspect: Gant en cuir rugueux et usé]
30. Le Poids de l'Honneur: 280 sp [Effet: Ne peut être perdue | Aspect: Pièce en or martelé à la main]
31. La Cloche de l'Aube: 260 sp [Effet: Réveil infaillible | Aspect: Clochette en bronze brillant]
32. La Loupe du Botaniste: 240 sp [Effet: Identifie les plantes | Aspect: Loupe cerclée de cuir]
33. Le Fil du Tisserand: 220 sp [Effet: Fil indestructible | Aspect: Bobine de fil robuste]
34. Le Dé du Destin: 200 sp [Effet: Résultat pair uniquement | Aspect: Dé en os poli]
35. La Clef de l'Honnêteté: 180 sp [Effet: Ouvre coffres non piégés | Aspect: Clef en laiton ancien]
36. La Poudre de Silence: 160 sp [Effet: Absorbe tout bruit | Aspect: Sachet en velours sombre]
37. L'Éventail de l'Été: 140 sp [Effet: Brise fraîche constante | Aspect: Éventail en soie fine]
38. Le Flacon de Joie: 120 sp [Effet: Parfum apaisant | Aspect: Fiole en cristal taillé]
39. La Bague de Mariage: 100 sp [Effet: Localise l'autre bague | Aspect: Anneau en fer forgé simple]
40. Le Bouton Magique: 80 sp [Effet: S'attache à tout tissu | Aspect: Bouton en bois sculpté]
41. La Plume du Poète: 60 sp [Effet: Écrit de la poésie | Aspect: Plume d'oie légère]
42. La Cire de Scellement: 40 sp [Effet: Durcit comme le fer | Aspect: Bâton de cire rouge profond]
43. Le Vernis du Protecteur: 380 sp [Effet: Anti:pourriture bois | Aspect: Pot en terre cuite sombre]
44. La Pierre à aiguiser: 360 sp [Effet: Aiguise en 3 sec | Aspect: Pierre brute grisâtre]
45. La Gourde du Désert: 340 sp [Effet: Ne se vide jamais | Aspect: Gourde en cuir épais]
46. Le Miroir du Voyant: 320 sp [Effet: Reflète ce qui est derrière | Aspect: Miroir poli cerclé de fer]
47. Le Sifflet du Berger: 300 sp [Effet: Regroupe animaux | Aspect: Sifflet en bois clair]
