ID,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Starting_Equipment_Cost_BP,Starting_Equipment_Kit_Type,Starting_Armor_Set,Starting_Armor_Cost_BP,Starting_Capital_After_Armor_BP,Post_Kit_Tier,Post_Kit_Tier_Name,Post_Kit_Purchases,Post_Kit_Total_Spent_BP,Final_Pocket_Money_BP,Armes_et_Armures,Autre_Equipement,Combat_Points,Magic,Magic_Type,Magic_Subtype,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00001,Human,Calishite,Lantan,Small Town,Groupe3_Coeur_Continental,Open Land Navigation | Desert Water Mastery,Guild Knowledge & Politics | Heraldry & Lineage Recognition | Temple Politics & Religious Intrigue | City Secrets & Hidden Routes,"Geography of Faerûn | Ancient Realms (Netheril, Imaskar...) | Festivals, Calendars & Traditions",Leatherworking & Tanning | Clockmaking & Complex Mechanisms,Thorass,Calishite | Tashalan | Thorass,184,293.4,universal_standard,Aucune,0,0,0,,,0,60,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),5.04,NO,None,,-2,1,1,3,3,166.5,60.6,0,4,3,5,-1,-1,4,5,7,4,Aucun,2026-05-31 23:48:00
CH-00002,Human,Calishite,Calimshan,Major Port City,Groupe2_Sud_Marchand,Wild Plant Foraging,Streetwise (Urban Underworld) | Streetwise (Urban Underworld) | Streetwise (Urban Underworld) | Urban Observation and Tailing | Fences and Buyers Network | Lockpicking and Trap Disarming,Trade Routes & Commerce | Legendary Artifacts & Relics | Divine Myths & Legends,Herbalism & Potion Brewing | Alchemy (Theory & Practice) | Locksmithing & Mechanisms,Tashalan,Calishite | Chondathan | Tashalan,216,293.4,universal_standard,Aucune,0,0,0,,,0,300,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),17.56,NO,None,,4,4,1,2,2,163.2,78.9,-1,4,3,6,-1,-3,-2,-1,5,5,Aucun,2026-05-31 23:48:00
CH-00003,Human,Chondathan,Chondath,Forest Village,Groupe4_Vilhon_Est,River Crossing | Open Land Navigation | Plains Tracking | Oceanic Navigation | Littoral Foraging | Coastal Survival,,Court Etiquette & Protocol | Divine Myths & Legends,Glassworking | Weapons & Armor Smithing | Lens Making & Optics,Thorass,Chondathan | Thorass | Turmish,56,293.4,universal_standard,Aucune,0,0,0,,,0,10,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),0.02,NO,None,,2,0,-2,-1,16,178.6,78.9,1,2,-1,-7,1,-4,-6,2,-4,-4,Aucun,2026-05-31 23:48:00
CH-00004,Human,Damaran,Silver Marches (Luruar),Farming Hamlet,Groupe7_Marches_Argent,Technical Rock Climbing | Wild Plant Foraging | Advanced Tracking | Mountain Endurance | Complex Terrain Navigation,Fences and Buyers Network,Local Folklore & Legends | Fall of Myth Drannor | Trade Routes & Commerce | History of Netheril,Musical Instrument Making,Chondathan | Thorass,Chondathan | Illuskan,39,293.4,universal_standard,Aucune,0,0,0,,,0,0,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),24.91,NO,None,,6,3,4,1,4,181.5,97.4,1,-1,2,2,3,1,0,-2,-3,2,Aucun,2026-05-31 23:48:00
CH-00005,Human,Mulan,Mulhorand,Metropolis,Groupe8_Mulhorand,Marsh Movement | Advanced Tracking | Weather Reading,Sleight of Hand & Cheating | Disguise & Impersonation | Information Brokerage | Black Market Operations | Noble Houses & Court Intrigue | Streetwise (Urban Underworld),Court Etiquette & Protocol | Legendary Artifacts & Relics | Geography of Faerûn | Divine Myths & Legends,Animal Husbandry & Training | Alchemy (Theory & Practice) | Architecture,Mulhorandi,Infernal | Mulhorandi | Rashemi,114,293.4,universal_standard,Aucune,0,0,0,,,0,5,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),3.02,NO,None,,2,1,-2,1,8,175.4,78.9,1,-2,5,-1,-2,3,1,5,-4,4,Aucun,2026-05-31 23:48:00
CH-00006,Dwarf,Gold Dwarf,Mithral Hall,Fortified City,Groupe6_Bloc_Nain,Snow and Ice Shelter Building | Advanced Tracking,Urban Stealth & Shadowing | Black Market Operations | Guild Knowledge & Politics | Disguise & Impersonation,Nobility & Heraldry | Ruins & Major Archaeological Sites,Animal Husbandry & Training,Nain,Nain | Undercommon,52,293.4,universal_standard,Aucune,0,0,0,,,0,20,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),15.86,NO,None,,6,3,0,-5,3,116.1,71.0,-8,5,1,8,-2,-4,-5,-8,8,3,Vision dans le noir + Robustesse naine,2026-05-31 23:48:00
CH-00007,Human,Shaaran,The Shaar,Military Outpost,Groupe3_Coeur_Continental,Plains Tracking | Forced March Endurance | Wild Plant Foraging | Open Land Navigation,Sleight of Hand & Cheating | Streetwise (Urban Underworld),"Court Etiquette & Protocol | Elven Culture | Festivals, Calendars & Traditions",Heraldry & Lineage | Leatherworking & Tanning | Ceramics & Pottery,Shaaran,Shaaran | Tashalan | Yuan-ti,37,293.4,universal_standard,Aucune,0,0,0,,,0,0,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),7.78,NO,None,,3,2,-3,2,8,178.6,78.9,1,1,4,1,-4,-2,-2,3,0,4,Aucun,2026-05-31 23:48:00
CH-00008,Dwarf,Gold Dwarf,Mithral Hall,Fortified City,Groupe6_Bloc_Nain,Complex Terrain Navigation,Temple Politics & Religious Intrigue | Disguise & Impersonation | Sleight of Hand & Cheating,History of the Realms | Fall of Myth Drannor | Ruins & Major Archaeological Sites,Musical Instrument Making,Thorass,Nain | Thorass,49,293.4,universal_standard,Aucune,0,0,0,,,0,0,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),-10.8,YES,Théurgique,Magie Blanche,-4,-4,-3,-11,-1,106.4,49.1,-10,3,-6,3,-2,-3,3,0,7,-5,Vision dans le noir + Robustesse naine,2026-05-31 23:48:00
CH-00009,Human,Calishite,Calimshan,Large Town,Groupe2_Sud_Marchand,Wild Plant Foraging | Desert Thermal Endurance,Guild Knowledge & Politics | Streetwise (Urban Underworld) | Information Brokerage,"Genasi & Elemental Peoples | Cosmology (Weave, Shadow Weave) | Court Etiquette & Protocol",Weaving & Spinning | Masonry,Thorass,Chondathan | Mulhorandi | Tashalan,126,293.4,universal_standard,Aucune,0,0,0,,,0,10,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),5.96,NO,None,,-1,0,4,0,5,157.7,63.9,-2,-4,8,6,1,1,-2,1,1,10,Aucun,2026-05-31 23:48:00
CH-00010,Human,Chondathan,Chondath,Large Town,Groupe4_Vilhon_Est,Advanced Tracking | Dark Water Swimming | Littoral Foraging,Streetwise (Urban Underworld) | Forgery of Documents & Seals,Political Currents & Rivalries | Major Cities & Regions | Trade Routes & Commerce | Dragon Lore,Viticulture & Winemaking | Glassworking | Masonry,Chondathan | Thorass,Chondathan | Illuskan,78,293.4,universal_standard,Aucune,0,0,0,,,0,15,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),-4.78,YES,Arcanique,Magicien,0,-2,-1,-3,8,167.7,78.9,0,-3,-4,-3,1,-2,-8,-7,-6,-5,Aucun,2026-05-31 23:48:00
