ID,Level,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Magic_Item_Capital,Final_Pocket_Money_BP,Armes_et_Bouclier,Prebuilt_Kit_Tier,Prebuilt_Kit_Cost_Sp,Prebuilt_Kit_Source,Combat_Points,Magic,Magic_Type,Magic_Subtype,Magic_And_Spells,God,Grappling,Melee,Projectiles,Fencing,Reach,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Regeneration,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00001,1,Human,Tethyrian,Tethyr,Small Town,Groupe2_Sud_Marchand,Open Land Navigation,Smuggling Networks | Urban Observation and Tailing | Forgery of Documents & Seals | Streetwise (Urban Underworld),Court Etiquette & Protocol | History of the Realms | Geography of Faerûn,Cooking (Fine Cuisine),Chondathan,Chondathan | Tethyrian,976,412,0,"Spellbook avec 6 sorts de niveau 1, Composite Bow (HQ), Arrows 12, Component Pouch, Dagger, Parchemin de sort N1 : Shield, Parchemin de sort N0 : Fire Bolt | Scallop Shell of the Weary Pilgrim (Uncommon) (400 sp) | Ammunition + (Common) (10 sp)",Kit 143,976.0,100_Magician_Kits .txt,-7.48,YES,Arcanique,Magicien,Charm Person | Find Familiar | Cause Fear | Mage Hand | Mending | Fire Bolt,Mystra,-1,-3,-3,-3,0,6,173.9,74.8,0,-1,-4,-4,0,2,-3,-4,1,-4,-6,Aucun,2026-07-12 18:54:20
CH-00002,1,Human,Uthgardt,Le Nord (The North),Farming Hamlet,Groupe5_Nord_Sauvage,Forest Stealth | Weather Reading | Plains Tracking,City Secrets & Hidden Routes,"Cosmology (Weave, Shadow Weave)",Perfumery & Cosmetics | Cooking (Fine Cuisine),None,Illuskan | Uthgardt,412,694,50,"Arming Doublet, Mail Voiders, Breastplate, Backplate, Vambraces, Couters, Tassets, Sallet, Lucerne Hammer, Dagger | Storm Mariner's Amulet (Uncommon) (610 sp) | Leather Helmet +1 (Common) (40 sp) | Bead of Nourishment (Common) (30 sp) | Ammunition + (Common) (10 sp)",Kit 69,407.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,21.87,NO,None,,,Helm,6,4,-4,3,3,6,196.8,102.7,3,4,-5,1,-3,3,0,-3,0,0,-5,Aucun,2026-07-12 18:54:20
CH-00003,1,Human,Illuskan,Spine of the World,Mountain Village,Groupe3_Coeur_Continental,Oceanic Navigation | Deep-Sea Fishing | Shelter Construction | Savanna Plant Knowledge | Mountain Endurance | Storm and Seasickness Mastery,,Geography of Faerûn,Herbalism & Potion Brewing | Animal Husbandry & Training | Leatherworking & Tanning,None,Illuskan,448,676,10,"Reinforced Gambeson, Longbow, Arrows (12 / full quiver), Archer Bracer, Thieves Tools poor, Dagger, Arming Doublet, Mail Voiders, Brigandine, Vambraces, Couters, Sallet, Arming Sword, Great Buckler, Pavise (35)  # pro ranged kit completed with armor, limbs, sidearm & ammo for company use | Hermetic Healer's Satchel (Uncommon) (650 sp) | Ammunition + (Common) (10 sp)",Kit 86,447.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,39.92,NO,None,,,Tempus,10,5,2,2,3,2,198.4,114.1,3,1,3,-5,4,5,6,-3,0,-7,1,Aucun,2026-07-12 18:54:20
CH-00004,1,Human,Chondathan,Sword Coast,Smuggler's Port,Groupe1_Cote_des_Epees,Open Land Navigation | Plains Tracking | Deep-Sea Fishing,Urban Observation and Tailing | Disguise & Impersonation,History of the Realms | Political Currents & Rivalries | Astronomy & Star Navigation,Cooking (Fine Cuisine) | Architecture,Chondathan,Chondathan | Elfique,773,513,540,"Destrier, War Saddle, Bit & Bridle, Arming Doublet, Mail Voiders, Breastplate, Vambraces, Couters, Bascinet, Lance, Bastard sword, Dagger | Marsh Wanderer's Boots (Uncommon) (510 sp)",Kit 96,719.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,3.64,NO,None,,,Shaundakul,1,0,2,0,2,11,186.7,87.7,2,-4,-4,0,3,0,-4,5,-2,-6,-4,Aucun,2026-07-12 18:54:20
CH-00005,1,Half-elf,Wood Half-elf,Silver Marches (Luruar),Isolated Hamlet,Groupe7_Marches_Argent,Mountain Endurance | Advanced Tracking | Technical Rock Climbing | Wild Plant Foraging,Noble Houses & Court Intrigue,Gnomish Culture | Elven Culture | Geography of Faerûn,Herbalism & Potion Brewing,Illuskan,Elfique | Illuskan | Reghed,449,675,20,"Reinforced Gambeson, Longbow, Arrows (12 / full quiver), Archer Bracer, Thieves Tools poor, Dagger, Arming Doublet, Mail Voiders, Brigandine, Vambraces, Couters, Sallet, Arming Sword, Great Buckler, Pavise (35)  # pro ranged kit completed with armor, limbs, sidearm & ammo for company use | Fan of Alliances (Uncommon) (600 sp) | Dawn Thread (Common) (40 sp) | Bead of Nourishment (Common) (30 sp)",Kit 86,447.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,25.78,NO,None,,,None,2,4,5,3,1,2,177.0,74.8,1,-1,10,2,3,-6,1,-3,3,-1,10,Méditation + Immunité sommeil + VN (N1),2026-07-12 18:54:20
CH-00006,1,Human,Tashalan,Tashalar,Forest Village,Groupe3_Coeur_Continental,Wild Plant Foraging | Coastal Survival | Marsh Movement | Marsh Disease Resistance,Disguise & Impersonation,Trade Routes & Commerce | Halfling Culture | Geography of Faerûn,Beekeeping,Calishite,Calishite | Tashalan,567,616,110,"Rouncey, War Saddle, Bit & Bridle, Arming Doublet, Mail Voiders, Breastplate, Backplate, Vambraces, Couters, Sallet, Lance, Arming Sword, Great Buckler, Dagger, Knife | Message Stones (Common) (600 sp) | Ammunition + (Common) (10 sp)",Kit 81,556.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,2.0,NO,None,,,Mystra,1,0,0,1,1,8,180.2,78.9,1,5,-8,3,1,-1,-4,7,-2,4,-7,Aucun,2026-07-12 18:54:20
CH-00007,1,Human,Raumviran,Impiltur,Small Town,Groupe3_Coeur_Continental,Storm and Seasickness Mastery,Fences and Buyers Network | Streetwise (Urban Underworld) | Noble Houses & Court Intrigue,Fey & Feywild Knowledge | History of Magic | Lost Kingdoms & Cities,Cooking (Fine Cuisine),Raumviran,Chondathan | Damaran | Raumviran,779,510,600,"Destrier, War Saddle, Bit & Bridle, Arming Doublet, Mail Voiders, Breastplate, Vambraces, Couters, Bascinet, Lance, Bastard sword, Dagger | Flask of Dancing Lights (Common) (500 sp) | Ammunition + (Common) (10 sp)",Kit 96,719.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,7.28,NO,None,,,None,2,2,1,1,-1,5,160.4,74.8,-1,0,1,7,-1,-1,-1,2,0,3,3,Aucun,2026-07-12 18:54:20
CH-00008,1,Human,Chondathan,Western Heartlands,Rural Village,Groupe3_Coeur_Continental,Rope Making and Knot Mastery | Plains Tracking | Weather Reading | Advanced Tracking | Shelter Construction | Hermetic Medicine,,Major Religions & Deities,Stoneworking,Chondathan,Chondathan,624,588,70,"Reinforced Gambeson, Composite Bow, Arrows (12), Archer Bracer, Falchion, Dagger, Arming Doublet, Mail Voiders, Brigandine, Vambraces, Couters, Sallet, Arming Sword, Great Buckler, Pavise (35)  # pro ranged kit completed with armor, limbs, sidearm & ammo for company use | Cliff Climber's Gloves (Uncommon) (560 sp) | Ammunition + (Common) (10 sp)",Kit 81,617.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,-11.0,YES,Théurgique,Magie Blanche,,Helm,-10,-7,1,-5,-2,2,153.9,49.1,-2,-7,-1,-1,2,3,-4,6,1,-3,-2,Aucun,2026-07-12 18:54:20
CH-00009,1,Human,Rashemi,Rashemen,Rural Village,Groupe10_Rashemen,Marsh Movement | Forest Stealth | Wild Plant Foraging,Poison Lore & Subtle Application | Information Brokerage,History of Netheril | Major Religions & Deities | Divine Myths & Legends,Sail & Rope Making | Herbalism & Potion Brewing,Rashemi,Rashemi,444,678,0,"Arming Doublet, Mail Voiders, Breastplate, Backplate, Vambraces, Couters, Armet, Bastard sword, Dagger | Hermetic Healer's Satchel (Uncommon) (650 sp) | Ammunition + (Common) (10 sp)",Kit 74,444.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,4.64,NO,None,,,Tyr,2,1,0,1,1,9,175.5,74.8,1,4,0,-3,1,-3,3,-1,-4,0,-1,Aucun,2026-07-12 18:54:20
CH-00010,1,Human,Rashemi,Hordelands (The Endless Wastes),Nomad Camp,Groupe3_Coeur_Continental,Weather Reading | Wild Plant Foraging | Open Land Navigation | Forest Stealth | Forced March Endurance | Plains Tracking,Black Market Operations,"Nobility & Heraldry | Trade Routes & Commerce | Festivals, Calendars & Traditions",Cartography | Jewelry & Goldsmithing | Herbalism & Potion Brewing,Rashemi,Rashemi | Tuigan,331,734,240,"Arming Doublet, Mail Shirt, Simple Breastplate, Sallet, Great Buckler, Arming Sword, Dagger | Oceanic Star Astrolabe (Uncommon) (680 sp) | Leather Helmet +1 (Common) (40 sp) | Ammunition + (Common) (10 sp)",Kit 46,307.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,47.15,NO,None,,,Oghma,8,6,4,5,1,-5,179.9,97.4,1,6,0,8,2,5,4,-2,5,6,2,Aucun,2026-07-12 18:54:20
