ID,Race,Ethnie,Origine,Special_Powers,Weight_Score,Build_Score,Taille_cm,Poids_kg,Balance,Coordination,Precision,Speed,Endurance,Stealth,Regeneration,Vigilance,Beauty,Grappling,Melee,Projectiles,Combat_Points,Magie,Skill_Points,Skill_Bonus
CH-001,Autre,Firbolg,Moonsea,Magie druidique innée,11,7,194.6,118.3,1,2,5,1,7,-4,-5,3,-2,11,7,10,81.069,NON,-84.75,0
CH-002,Demi-orc,Demi-orc ogrillons,Rashemen,Aucun,1,-1,174.9,73.4,3,0,2,-1,-3,1,-3,-3,-6,2,0,4,9.603,NON,-8.296,0
CH-003,Nain,Urddnir,High Forest,Marche à travers la pierre,6,34,136.3,93.2,6,2,5,-6,6,3,1,-7,-8,9,5,10,80.311,NON,-83.649,0
CH-004,Autre,Kuo-toa,Mithral Hall,Fanatisme religieux,0,-1,171.7,70.0,1,-2,-2,1,4,-1,-1,8,-7,0,-2,-4,1.736,NON,-4.21,-14.227
CH-005,Autre,Genasi,Damara,Affinité élémentaire,-4,-1,159.4,57.8,-3,5,3,7,3,2,2,2,-4,-6,3,6,21.436,NON,-29.169,0
CH-006,Autre,Kenku mimétique,Luiren,Mimétisme parfait,-7,2,146.5,50.1,7,-2,5,8,-1,7,-1,6,-3,-4,-6,10,32.975,NON,-43.207,0
CH-007,Autre,Sahuagin royal,Waterdeep,Commandement marin,4,0,183.1,84.7,6,6,-4,-3,-3,6,8,0,3,7,8,-8,47.337,NON,-48.628,0
CH-008,Autre,Githzerai,Star Mounts,Discipline mentale,0,0,170.0,70.0,3,3,-3,1,6,4,2,1,-6,1,3,-6,14.15,NON,-21.104,0
CH-009,Autre,Lizardfolk,Evermeet,Morsure + Artisanat osseux,0,6,160.3,70.0,2,-2,-3,-4,4,0,1,-3,0,1,-2,-6,5.87,NON,-6.571,0
CH-010,Humain,Sossrim,Sembia,Aucun,5,0,186.5,88.8,0,-1,-2,4,3,-4,-2,4,-2,5,1,-4,7.879,NON,-10.322,0
CH-011,Demi-elfe,Demi-elfe de la lune,Amn,Immunité sommeil + Vision nocturne,1,3,168.2,73.4,4,1,0,-2,-1,3,5,6,-1,3,1,0,10.656,NON,-10.971,0
CH-012,Nain,Nain d'or,Mithral Hall,Vision dans le noir + robustesse naine,7,31,143.0,97.7,1,1,-6,2,4,-3,4,3,-5,7,4,-12,16.516,NON,-18.707,0
CH-013,Nain,Urddnir,Waterdeep,Marche à travers la pierre,2,27,135.5,77.0,6,-3,1,6,1,2,5,5,-5,5,-2,2,34.533,NON,-40.169,0
CH-014,Demi-elfe,Demi-elfe des étoiles,Evermeet,Magie stellaire innée + Immunité sommeil + Vision nocturne,-8,-5,153.9,47.8,8,4,3,4,-1,12,-3,2,4,-4,0,6,18.647,NON,-31.227,0
CH-015,Autre,Aasimar déchu,Chult,Lumière sombre,1,4,166.5,73.4,8,5,1,7,2,8,1,0,5,5,5,2,43.676,NON,-55.509,0
CH-016,Elfe,Avariel,Icewind Dale,Vol naturel + Transe + Immunité sommeil + Vision nocturne,-4,2,154.8,57.8,4,8,5,9,-3,10,-2,2,8,-2,6,10,64.78,NON,-78.362,0
CH-017,Autre,Githyanki,Impiltur,Télékinésie martiale,-2,1,162.2,63.6,6,-1,6,5,3,5,-2,6,5,1,-2,12,45.799,NON,-53.896,0
CH-018,Autre,Kalastar,Great Rift,Lien psychique,-1,0,166.9,66.7,8,1,0,3,-2,7,9,0,6,3,0,0,18.656,NON,-24.338,0
