ID,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Final_Pocket_Money_BP,Armes_et_Bouclier,Prebuilt_Kit_Tier,Prebuilt_Kit_Cost_Sp,Combat_Points,Magic,Magic_Type,Magic_Subtype,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00001,Human,Calishite,Calimshan,Metropolis,Groupe2_Sud_Marchand,Open Land Navigation | Desert Thermal Endurance,Streetwise (Urban Underworld) | Black Market Operations | Forgery of Documents & Seals | Disguise & Impersonation | Smuggling Networks,Local Folklore & Legends | Elven Culture | History of Netheril | History of the Realms,Calligraphy & Illumination,Chondathan | Lantanna,Calishite | Chondathan | Lantanna,627,200,"Arming Doublet, Mail Voiders, Breastplate + Backplate, Vambraces + Couters, Gauntlets, Tassets, Armet, Rapier, Dagger",Kit 87,607.0,-6.89,YES,Théurgique,Magie Blanche,-5,-4,1,-3,1,166.5,60.6,0,-1,-5,-1,3,3,3,5,0,-6,Aucun,2026-06-05 12:29:07
CH-00002,Human,Damaran,Damara,Rural Village,Groupe5_Nord_Sauvage,Technical Rock Climbing | Extreme Cold Resistance | Game Butchering and Preservation | Complex Terrain Navigation | Open Land Navigation | Hermetic Medicine,,History of Netheril | Elven Culture | Major Religions & Deities | Geography of Faerûn,Poison Lore & Application | Candle & Soap Making,Reghed | Thorass,Chondathan | Reghed | Vaasan,121,20,"Padded Jack, Sallet, Guisarme",Kit 27,119.0,11.6,NO,None,,2,1,4,1,7,175.4,78.9,1,2,1,-1,5,1,-1,-2,0,0,Aucun,2026-06-05 12:29:07
CH-00003,Human,Damaran,Impiltur,Major Port City,Groupe3_Coeur_Continental,,Information Brokerage | Urban Observation and Tailing | High Society Manipulation | Disguise & Impersonation | Streetwise (Urban Underworld) | Streetwise (Urban Underworld),Cultural Interactions | Trade Routes & Commerce | Laws & Customs of Nations | Nobility & Heraldry,Viticulture & Winemaking | Dyeing & Textile Coloring | Accounting & Estate Management,Chondathan | Nar,Chondathan | Nar | Thorass,413,0,"Aketon, Mail Shirt, Brigandine, Sallet, Heavy Crossbow, Heavy Crossbow Bolts, Dagger",Kit 68,413.0,-2.62,YES,Sauvage,Magie Blanche,-2,-1,0,0,2,172.5,67.4,0,-2,2,0,0,2,-5,7,-2,2,Aucun,2026-06-05 12:29:07
CH-00004,Half-elf,Wood Half-elf,Waterdeep,Major Port City,Groupe1_Cote_des_Epees,,Urban Stealth & Shadowing | Sleight of Hand & Cheating | Poison Lore & Subtle Application,Court Etiquette & Protocol | Laws & Customs of Nations | Geography of Faerûn | History of Imaskar,Accounting & Estate Management | Sail & Rope Making,Chondathan | Thorass,Chondathan | Druidic,787,100,"Courser, War Saddle, Bit & Bridle, Leather Barding, Aketon, Mail Haubergeon, Brigandine, Armet, Lance, Arming Sword, Dagger",Kit 92,777.0,-1.62,NO,None,,0,-1,-2,-1,12,172.4,71.0,0,-2,4,-6,0,-4,2,-6,-6,2,Méditation + Immunité sommeil + VN (N1),2026-06-05 12:29:07
CH-00005,Human,Tethyrian,Baldur's Gate,Fishing Village,Groupe1_Cote_des_Epees,Wild Plant Foraging | Advanced Tracking | Dark Water Swimming | Coastal Survival | Oceanic Navigation,Urban Observation and Tailing,Major Cities & Regions | Nobility & Heraldry,Alchemy (Theory & Practice) | Leatherworking & Tanning | Bookbinding,Sembian,Chondathan | Sembian | Tethyrian,276,20,"Arming Doublet, Mail Voiders, Simple Breastplate, Vambraces + Couters, Bascinet (basic), Arming Sword, Dagger",Kit 48,274.0,13.24,NO,None,,2,2,4,1,6,173.8,78.9,0,0,0,7,2,-4,-3,-6,3,2,Aucun,2026-06-05 12:29:07
CH-00006,Dwarf,Shield Dwarf,Citadel Adbar,Mountain Village,Groupe6_Bloc_Nain,Underground Navigation | Mountain Endurance | Hermetic Medicine | Complex Terrain Navigation | Extreme Cold Resistance,Lockpicking and Trap Disarming,Ruins & Major Archaeological Sites | Political Currents & Rivalries | Trade Routes & Commerce | History of the Realms,Calligraphy & Illumination | Brewing & Distilling | Forgery of Official Documents,Géant | Nain,Géant | Nain,111,10,"Gambeson, Light Crossbow, Crossbow Bolts",Kit 23,110.0,2.05,NO,None,,4,-1,-2,-8,11,142.5,87.7,-4,-3,-5,-3,0,0,6,2,-7,-6,Vision dans le noir + Robustesse naine,2026-06-05 12:29:07
CH-00007,Human,Chondathan,Chondath,Rural Village,Groupe4_Vilhon_Est,Dark Water Swimming | Oceanic Navigation | Open Land Navigation | Coastal Survival | Littoral Foraging,,Weave Theory | Major Cities & Regions | Trade Routes & Commerce | History of Netheril,Animal Husbandry & Training | Weaving & Spinning,Chondathan | Thorass,Chessentan | Chondathan,191,0,"Jack of Plates, Sallet, War Hammer, Dagger",Kit 38,191.0,12.96,NO,None,,3,3,1,2,2,167.7,74.8,0,7,0,2,1,7,1,6,6,0,Aucun,2026-06-05 12:29:07
CH-00008,Human,Tethyrian,Tethyr,Large Town,Groupe2_Sud_Marchand,Desert Water Mastery,Urban Stealth & Shadowing | Sleight of Hand & Cheating | Noble Houses & Court Intrigue,Nobility & Heraldry | Laws & Customs of Nations | Local Folklore & Legends | Fey & Feywild Knowledge,Animal Husbandry & Training,Tethyrian | Thorass,Chondathan | Elfique | Tethyrian,299,50,"Arming Doublet, Mail Voiders, Simple Breastplate, Bascinet, Vambraces + Couters, Flanged Mace, Dagger",Kit 49,294.0,-1.64,NO,None,,0,0,-4,1,11,175.6,71.0,1,-1,4,-3,-3,-3,-1,-2,-3,3,Aucun,2026-06-05 12:29:07
CH-00009,Human,Calishite,Calimshan,Metropolis,Groupe2_Sud_Marchand,Plains Tracking | Desert Thermal Endurance | Open Land Navigation,City Secrets & Hidden Routes | Sleight of Hand & Cheating | Urban Stealth & Shadowing,Ruins & Major Archaeological Sites | Major Cities & Regions | Elven Culture | Political Currents & Rivalries,Preservation & Salting | Ritual Object Crafting | Masonry,Halruaan | Chondathan,Chondathan | Halruaan | Mulhorandi,639,90,"Arming Doublet, Mail Voiders, Brigandine (high quality), Vambraces + Couters, Gauntlets, Armet, Bec de Corbin, Rondel Dagger",Kit 88,630.0,-6.29,YES,Théurgique,Magie Blanche,0,-1,-8,-1,2,175.5,74.8,1,1,-4,0,-7,3,1,2,0,-4,Aucun,2026-06-05 12:29:07
CH-00010,Human,Illuskan,Luskan,Large Town,Groupe1_Cote_des_Epees,Deep-Sea Fishing | Confined Space Stealth | Storm and Seasickness Mastery | Littoral Foraging,Urban Observation and Tailing | Noble Houses & Court Intrigue,"Major Religions & Deities | Festivals, Calendars & Traditions",Candle & Soap Making | Smithing & Metallurgy,None,Illuskan | Vaasan,158,30,"Reinforced Gambeson, Bascinet, Arming Sword, Dagger",Kit 30,155.0,-3.0,YES,Théurgique,Magie Verte,0,-1,-1,-1,-1,180.3,74.8,1,3,-4,-3,1,3,5,1,0,-5,Aucun,2026-06-05 12:29:07
CH-00011,Human,Tethyrian,The Dalelands,Rural Village,Groupe3_Coeur_Continental,Advanced Tracking | Wild Plant Foraging | Complex Terrain Navigation | Field Weapon Maintenance | Plains Tracking,,Trade Routes & Commerce | History of the Realms | Ruins & Major Archaeological Sites | Laws & Customs of Nations,Beekeeping | Stoneworking,Illuskan | Thorass,Chondathan | Illuskan | Tethyrian,177,80,"Gambeson (long / fended), Simple Breastplate, Heater Shield, Arming Sword, Dagger",Kit 31,169.0,1.02,NO,None,,-2,0,2,0,11,174.0,71.0,0,-2,-2,6,1,7,-8,2,1,0,Aucun,2026-06-05 12:29:07
CH-00012,Human,Mulan,Mulhorand,Caravan Oasis,Groupe8_Mulhorand,Desert Water Mastery | Open Land Navigation | Weather Reading,,Laws & Customs of Nations | Geography of Faerûn,Accounting & Estate Management,Thorass,Mulhorandi | Rashemi,165,100,"Reinforced Gambeson, Bascinet, Arming Sword, Dagger",Kit 30,155.0,10.56,NO,None,,2,2,2,2,7,169.3,74.8,0,3,2,3,1,-3,-5,-5,3,3,Aucun,2026-06-05 12:29:07
CH-00013,Human,Chondathan,Chondath,Large Town,Groupe4_Vilhon_Est,River Crossing,Lockpicking and Trap Disarming | High Society Manipulation | Smuggling Networks,Divine Myths & Legends | Major Cities & Regions | Major Religions & Deities,Cartography | Sail & Rope Making,Thorass,Chondathan | Thorass,261,0,"Arming Doublet, Mail Voiders, Cuisses, Sallet, Pike, Arming Sword, Dagger",Kit 44,261.0,-1.14,NO,None,,0,-2,2,-3,15,163.4,71.0,-1,0,0,-9,5,2,-6,3,-6,-3,Aucun,2026-06-05 12:29:07
CH-00014,Human,Rashemi,Rashemen,Nomad Camp,Groupe10_Rashemen,Hermetic Medicine | Forest Stealth | Advanced Tracking | Marsh Movement | Complex Terrain Navigation | Wild Plant Foraging,,History of Imaskar | History of the Realms | Local Folklore & Legends,Animal Husbandry & Training | Herbalism & Potion Brewing,Mulhorandi,Infernal | Mulhorandi | Rashemi,123,40,"Padded Jack, Sallet, Guisarme",Kit 27,119.0,-7.42,YES,Arcanique,Magicien,-1,-2,-4,-3,4,162.0,67.4,-1,2,-3,-5,-1,-1,-2,-7,-1,-5,Aucun,2026-06-05 12:29:07
CH-00015,Human,Damaran,Damara,Rural Village,Groupe5_Nord_Sauvage,Trapping and Snaring | Mountain Endurance | Hermetic Medicine | Extreme Cold Resistance | Deep-Sea Fishing | Complex Terrain Navigation,Disguise & Impersonation | Smuggling Networks,History of the Realms | Political Currents & Rivalries | Astronomy & Star Navigation,Clockmaking & Complex Mechanisms | Locksmithing & Mechanisms,Reghed,Chondathan | Illuskan | Reghed,129,100,"Padded Jack, Sallet, Guisarme",Kit 27,119.0,2.02,NO,None,,2,1,-2,0,8,172.3,74.8,0,3,0,1,-2,8,-3,8,2,0,Aucun,2026-06-05 12:29:07
CH-00016,Human,Calishite,Calimshan,Large Town,Groupe2_Sud_Marchand,Open Land Navigation | Plains Tracking,Guild Knowledge & Politics | Urban Observation and Tailing | Smuggling Networks,Fey & Feywild Knowledge | Trade Routes & Commerce,Jewelry & Goldsmithing | Rare Dye Making | Carpentry & Woodworking,Thorass,Calishite | Chondathan | Infernal | Lantanna,475,80,"Brigandine (high quality), Armet, Heavy Crossbow, Heavy Crossbow Bolts, Rondel Dagger",Kit 77,467.0,5.96,NO,None,,-1,0,4,0,5,170.9,71.0,0,-2,3,2,3,9,2,9,-1,3,Aucun,2026-06-05 12:29:07
CH-00017,Human,Chondathan,Western Heartlands,Large Town,Groupe3_Coeur_Continental,Open Land Navigation | Advanced Tracking | Plains Tracking,Guild Knowledge & Politics | Urban Observation and Tailing | Guild Knowledge & Politics | Black Market Operations,Local Folklore & Legends | Political Currents & Rivalries | Astronomy & Star Navigation | Legendary Artifacts & Relics,Taxidermy | Beekeeping,Chondathan,Chondathan | Tethyrian | Turmish,196,20,"Aketon, Mail Haubergeon, Kettle Hat, Reinforced Spear, Great Targe, Dagger",Kit 35,194.0,-3.71,YES,Théurgique,Magie Blanche,-2,0,-5,1,1,180.5,67.4,1,0,2,1,-5,-4,-2,-1,1,2,Aucun,2026-06-05 12:29:07
