ID,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Final_Pocket_Money_BP,Armes_et_Bouclier,Prebuilt_Kit_Tier,Prebuilt_Kit_Cost_Sp,Combat_Points,Magic,Magic_Type,Magic_Subtype,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00001,Human,Turami,Chondath,Large Town,Groupe4_Vilhon_Est,Oceanic Navigation | Littoral Foraging | Coastal Survival,Criminal Organizations & Syndicates | Fences and Buyers Network,Major Cities & Regions | Political Currents & Rivalries | History of the Realms | Geography of Faerûn,Shipbuilding,Chondathan | Thorass,Chondathan | Thorass | Turami,316,40,"Jack of Plates, Sallet, Mail Voiders, Bill, Great Targe, Rondel Dagger",Kit 52,312.0,14.25,NO,None,,7,1,-1,-1,13,191.4,114.1,2,-6,-1,-4,1,0,-2,7,-12,-3,Aucun,2026-06-05 12:31:17
CH-00002,Human,Chondathan,Chondath,Large Town,Groupe4_Vilhon_Est,River Crossing | Littoral Foraging,Guild Knowledge & Politics | Heraldry & Lineage Recognition | Forgery of Documents & Seals | Poison Lore & Subtle Application,Secret Organizations | Dragon Lore | Fall of Myth Drannor | Political Currents & Rivalries,Calligraphy & Illumination | Architecture,Chessentan | Thorass,Chessentan | Chondathan | Illuskan,257,0,"Gambeson, Coat of Plates, Bascinet, Crossbow, Crossbow Bolts, Dagger",Kit 43,257.0,7.92,NO,None,,2,2,0,2,9,178.6,74.8,1,5,1,0,0,-6,-5,-4,3,1,Aucun,2026-06-05 12:31:17
CH-00003,Dwarf,Gold Dwarf,Great Rift,Dwarven Fortress,Groupe6_Bloc_Nain,Complex Terrain Navigation,Smuggling Networks | Guild Knowledge & Politics | Poison Lore & Subtle Application | Streetwise (Urban Underworld),Elven Culture | Gnomish Culture | History of the Realms,Masonry | Rare Dye Making,Nain,Géant | Nain | Thorass,175,60,"Gambeson (long / fended), Simple Breastplate, Heater Shield, Arming Sword, Dagger",Kit 31,169.0,14.1,NO,None,,4,2,3,-3,-1,122.6,63.9,-7,5,6,4,1,2,5,2,7,7,Vision dans le noir + Robustesse naine,2026-06-05 12:31:17
CH-00004,Human,Tashalan,The Shaar,Forest Village,Groupe3_Coeur_Continental,Plains Tracking | Wild Plant Foraging | Marsh Disease Resistance | Marsh Movement,,Halfling Culture | Major Religions & Deities | Nobility & Heraldry | Weave Theory,Stone & Wood Carving,Yuan-ti | Thorass,Tashalan | Yuan-ti,111,10,"Gambeson, Light Crossbow, Crossbow Bolts",Kit 23,110.0,0.42,NO,None,,-1,-2,3,-2,13,178.6,78.9,1,-6,-3,-1,4,0,1,-1,-7,-4,Aucun,2026-06-05 12:31:17
CH-00005,Human,Calishite,Calimshan,Major Port City,Groupe2_Sud_Marchand,Plains Tracking | Open Land Navigation,Urban Observation and Tailing | Disguise & Impersonation | Lockpicking and Trap Disarming | Sleight of Hand & Cheating | Disguise & Impersonation,Religious Cults & Orders | Cultural Interactions | Nobility & Heraldry | Political Currents & Rivalries,Locksmithing & Mechanisms | Viticulture & Winemaking | Engraving on Metal & Gems,Calishite | Thorass,Calishite | Chondathan | Halruaan,472,50,"Brigandine (high quality), Armet, Heavy Crossbow, Heavy Crossbow Bolts, Rondel Dagger",Kit 77,467.0,-7.42,YES,Théurgique,Magie Verte,-4,-3,-1,-2,-1,152.3,57.5,-2,-1,1,0,-1,1,4,2,1,1,Aucun,2026-06-05 12:31:17
CH-00006,Human,Mulan,Mulhorand,Large Town,Groupe8_Mulhorand,Open Land Navigation | Advanced Tracking,Urban Observation and Tailing | Disguise & Impersonation | Guild Knowledge & Politics,Local Folklore & Legends | History of the Realms | Halfling Culture | Dwarven Culture,Masonry,Thayan | Mulhorandi,Mulhorandi | Thayan,265,40,"Arming Doublet, Mail Voiders, Cuisses, Sallet, Pike, Arming Sword, Dagger",Kit 44,261.0,18.57,NO,None,,2,1,6,2,5,190.2,78.9,2,2,4,-5,7,12,-2,9,-3,2,Aucun,2026-06-05 12:31:17
CH-00007,Human,Tethyrian,Amn,Smuggler's Port,Groupe2_Sud_Marchand,Desert Water Mastery | Forest Stealth | Wild Plant Foraging | Desert Thermal Endurance | Open Land Navigation,,Gnomish Culture | Local Folklore & Legends,Sail & Rope Making | Accounting & Estate Management,Thorass,Chessentan | Chondathan | Thorass,266,50,"Arming Doublet, Mail Voiders, Cuisses, Sallet, Pike, Arming Sword, Dagger",Kit 44,261.0,-9.12,YES,Sauvage,Magie Rouge,-3,-3,-4,-3,2,152.2,60.6,-2,-1,2,-4,-3,0,2,-3,-2,0,Aucun,2026-06-05 12:31:17
CH-00008,Human,Chondathan,Western Heartlands,Large Town,Groupe3_Coeur_Continental,Open Land Navigation | Advanced Tracking | Forest Stealth | Plains Tracking,Disguise & Impersonation | Streetwise (Urban Underworld) | Poison Lore & Subtle Application | Streetwise (Urban Underworld),Elven Culture | Geography of Faerûn | Religious Cults & Orders | Dragon Lore,Accounting & Estate Management,Thorass,Chondathan | Elfique | Thorass,205,110,"Aketon, Mail Haubergeon, Kettle Hat, Reinforced Spear, Great Targe, Dagger",Kit 35,194.0,-2.0,NO,None,,-1,-1,1,-1,9,173.9,74.8,0,-2,-2,2,1,4,3,-2,-1,-2,Aucun,2026-06-05 12:31:17
CH-00009,Human,Calishite,Amn,Major Trade City,Groupe2_Sud_Marchand,Wild Plant Foraging,Smuggling Networks | Urban Stealth & Shadowing | Streetwise (Urban Underworld) | Disguise & Impersonation,Ruins & Major Archaeological Sites | Political Currents & Rivalries | Major Cities & Regions | Trade Routes & Commerce,Architecture | Dyeing & Textile Coloring | Perfumery & Cosmetics,Tashalan | Thorass,Calishite | Tashalan,443,10,"Arming Doublet, Mail Voiders, Breastplate + Backplate, Armet, Longsword, Kite Shield, Dagger",Kit 73,442.0,17.43,NO,None,,6,2,-3,3,7,177.0,83.2,1,1,11,-9,-2,0,-2,5,-7,8,Aucun,2026-06-05 12:31:17
CH-00010,Human,Tethyrian,Tethyr,Large Town,Groupe2_Sud_Marchand,Open Land Navigation | Advanced Tracking | Forest Stealth,City Secrets & Hidden Routes | Noble Houses & Court Intrigue | Sleight of Hand & Cheating,Genasi & Elemental Peoples | Laws & Customs of Nations | Fey & Feywild Knowledge | Weave Theory,Masonry | Smithing & Metallurgy,Halruaan | Thorass,Chondathan | Halruaan | Lantanna,318,60,"Jack of Plates, Sallet, Mail Voiders, Bill, Great Targe, Rondel Dagger",Kit 52,312.0,-4.4,YES,Arcanique,Magicien,-3,-2,1,-2,4,170.9,71.0,0,-3,-4,4,1,-5,-3,2,-1,-3,Aucun,2026-06-05 12:31:17
