ID,Race,Ethnie,Origine,Special_Powers,Size_Score,Build_Score,Weight_Score,Taille_cm,Poids_kg,Balance,Coordination,Precision,Speed,Endurance,Stealth,Grappling,Melee,Projectiles,Combat_Points,Magie,Skill_Points,Skill_Bonus
CH-001,Nain,Nain d'écu,Mithral Hall,Vision dans le noir + robustesse naine,10,29,39,219.8,449.4,0,1,2,-2,3,-19,39,21,6,252.11,NON,-248.1,0.0
CH-002,Autre,Goliath,Cormyr,Réduction de dégâts importante,10,1,11,219.8,118.3,-3,-1,-1,0,5,-9,8,3,-3,38.88,NON,-38.8,0.0
CH-003,Demi-elfe,Demi-elfe noir,Impiltur,Immunité sommeil + Vision nocturne,-8,3,-5,138.4,55.2,-2,3,0,-1,0,2,-7,3,0,5.75,NON,-6.4,0.0
CH-004,Humain,Mulan,Turmish,Aucun,-4,3,-1,153.4,66.7,-2,-2,2,-3,0,-3,-3,-5,6,7.04,NON,-4.3,-15.133
CH-005,Autre,Githyanki,High Forest,Télékinésie martiale,-3,-1,-4,157.4,57.8,0,4,0,0,3,4,-4,6,0,23.65,NON,-27.8,0.0
CH-006,Autre,Goblin,Le Nord,Aucun,-8,1,-7,138.4,50.1,2,1,0,2,-3,5,-5,-2,0,-4.71,Sauvage,1.8,3.043
CH-007,Autre,Kenku,Mulhorand,Mimétisme vocal,-12,-2,-14,124.9,35.9,-2,3,1,4,2,7,-16,-1,3,6.69,NON,-15.1,0.0
CH-008,Autre,Géant des ombres,Star Mounts,Fusion avec les ombres,25,11,36,323.2,389.5,3,-1,-3,2,5,-17,39,16,-9,250.69,NON,-250.4,0.0
CH-009,Autre,Tabaxi,Moonsea,Agilité féline + Grimper naturel,-1,0,-1,165.7,66.7,4,2,1,5,3,4,3,3,3,31.97,NON,-39.3,0.0
CH-010,Demi-elfe,Avariel (Demi-elfe),Chondath,Vol naturel + Immunité sommeil + Vision nocturne,-11,-2,-13,128.1,37.7,3,1,1,4,-2,9,-10,-5,3,23.56,NON,-31.9,0.0
CH-011,Humain,Chondathan,Thesk,Aucun,-4,2,-2,153.4,63.6,2,0,0,-2,1,2,0,-1,0,-1.0,Theurgique,0.3,0.563
CH-012,Demi-elfe,Demi-elfe sauvage,Anauroch,Immunité sommeil + Vision nocturne,-5,3,-2,149.5,63.6,2,-1,-3,-1,2,2,0,-3,-9,-1.81,Theurgique,0.1,0.153
CH-013,Humain,Chondathan,Turmish,Aucun,-2,4,2,161.5,77.0,2,4,-1,-4,2,3,4,9,-3,26.48,NON,-27.6,0.0
CH-014,Autre,Kalastar,Ironmaster,Lien psychique,-3,2,-1,157.4,66.7,4,3,-1,-1,2,5,3,5,-3,26.02,NON,-29.8,0.0
CH-015,Humain,Sossrim,Damara,Aucun,12,-1,11,231.4,118.3,0,-1,4,-2,2,-7,11,3,12,65.78,NON,-63.3,0.0
CH-016,Humain,Damaran,Neverwinter,Aucun,2,0,2,179.0,77.0,1,-2,-1,0,2,-2,3,-3,-3,0.34,NON,-0.5,-1.054
CH-017,Humain,Tethyrian,Impiltur,Aucun,-2,3,1,161.5,73.4,2,3,-1,0,1,2,3,6,-3,14.78,NON,-16.4,0.0
CH-018,Demi-elfe,Demi-elfe noir,Sembia,Immunité sommeil + Vision nocturne,1,-3,-2,174.4,63.6,4,0,3,2,2,4,2,-1,9,28.31,NON,-33.0,0.0
CH-019,Demi-elfe,Demi-elfe sauvage,Turmish,Immunité sommeil + Vision nocturne,-5,-1,-6,149.5,52.6,1,-2,-1,1,1,2,-5,-7,-3,-4.15,Arcanique,2.0,3.342
CH-020,Autre,Tabaxi nocturne,Ironmaster,Vision nocturne supérieure + Agilité féline,-8,2,-6,138.4,52.6,4,3,3,3,4,8,-2,3,9,44.71,NON,-54.7,0.0
CH-021,Autre,Aarakocra,Star Mounts,Vol naturel très puissant,-9,3,-6,134.9,52.6,3,0,4,3,2,5,-3,-3,12,56.11,NON,-62.1,0.0
CH-022,Demi-elfe,Avariel (Demi-elfe),Thesk,Vol naturel + Immunité sommeil + Vision nocturne,-4,5,1,153.4,73.4,1,5,3,1,-2,3,2,10,9,76.43,NON,-77.8,0.0
CH-023,Demi-elfe,Demi-elfe sauvage,Dalelands,Immunité sommeil + Vision nocturne,-9,-2,-11,134.9,41.4,2,3,1,4,-1,8,-9,0,3,5.0,NON,-12.8,0.0
CH-024,Demi-elfe,Lythari (Demi-elfe),Turmish,Lycanthropie lupine contrôlée + Immunité sommeil + Vision nocturne,-5,-1,-6,149.5,52.6,-1,0,1,3,-2,2,-7,-3,3,22.59,NON,-24.5,0.0
CH-025,Demi-elfe,Demi-elfe de la lune,High Forest,Immunité sommeil + Vision nocturne,-1,-6,-7,165.7,50.1,4,1,3,2,2,7,-3,-2,9,22.89,NON,-30.0,0.0
CH-026,Autre,Warforged,Tethyr,Corps construct,10,13,23,219.8,209.6,2,-2,2,-2,4,-12,25,7,6,134.13,NON,-131.8,0.0
CH-027,Autre,Merrow,Vilhon Reach,Force aquatique,14,10,24,243.6,219.8,1,0,1,2,7,-12,25,12,3,147.68,NON,-149.8,0.0
CH-028,Halfling,Lightfoot,Chult,Furtivité naturelle,-16,4,-12,112.7,39.5,2,3,2,4,3,9,-10,0,6,7.27,NON,-18.3,0.0
CH-029,Humain,Damaran,Rashemen,Aucun,-6,1,-5,145.7,55.2,4,-1,2,-1,1,5,-1,-5,6,8.2,NON,-11.4,0.0
CH-030,Gnome,Gnome des forêts,Amn,Affinité nature + Vision dans le noir,-7,4,-3,142.0,60.7,4,2,4,3,2,5,1,2,12,36.06,NON,-42.1,0.0
CH-031,Elfe,Elfe des étoiles,Vaasa,Magie stellaire innée + Transe + Immunité sommeil + Vision nocturne,-5,-2,-7,149.5,50.1,0,3,3,2,0,5,-7,2,9,38.41,NON,-42.7,0.0
CH-032,Autre,Sahuagin,Unther,Respiration aquatique + Rage marine,4,5,9,188.4,107.5,3,-1,-1,0,5,-3,12,2,-3,44.9,NON,-46.7,0.0
CH-033,Demi-elfe,Demi-elfe sauvage,Vaasa,Immunité sommeil + Vision nocturne,-7,7,0,142.0,70.0,3,3,0,3,-2,4,3,6,0,21.94,NON,-25.2,0.0
CH-034,Demi-elfe,Demi-elfe des bois,Chondath,Immunité sommeil + Vision nocturne,6,-1,5,198.3,88.8,2,0,2,0,3,-1,7,2,6,35.17,NON,-36.4,0.0
CH-035,Autre,Aarakocra,High Forest,Vol naturel très puissant,-7,4,-3,142.0,60.7,2,4,-2,7,3,5,-1,6,-6,35.78,NON,-45.6,0.0
CH-036,Gnome,Gnome des forêts,Luskan,Affinité nature + Vision dans le noir,-11,7,-4,128.1,57.8,2,4,0,2,1,6,-2,6,0,10.66,NON,-16.3,0.0
