ID,Indice,Race,Ethnicity,Origin_Region,Settlement_Type,Magic_Type,Combat_Points,Grappling,Melee,Fencing,Skill_Modifier,Projectiles,Weight_Score,Build_Score,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Regeneration,Vigilance,Beauty,Stealth,Speed,Dodge,Climbing,Magic,Magic_Subtype,Magic_Description,Special
CH-00001,7,Human,Tethyrian,Tethyr,Village rural,None,"6,92",2,2,2,6,-1,0,2,"166,3","71,0",0,7,-1,4,-2,-6,-4,-2,0,8,0,1,2,NO,,Non-magique,Aucun
CH-00002,138,Human,Uthgardt,Le Nord (The North),Hameau isolé,Théurgique,"-1,02",1,-1,-2,2,0,3,3,"173,8","83,2",0,-5,-2,0,1,5,0,1,5,-6,-2,-3,-1,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun
CH-00003,3,Human,Damaran,Moonsea,Hameau agricole,Théurgique,"-2,0",0,-1,-1,0,0,2,4,"169,2","78,9",0,-5,-1,3,0,4,-7,4,5,-4,0,-1,0,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun
CH-00004,1,Human,Calishite,Calimshan,Grande Ville portuaire,Théurgique,"-2,62",-1,0,0,-1,-2,-1,-1,"168,0","67,4",0,2,0,0,-2,-1,4,2,-5,2,0,1,0,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun
CH-00005,8,Human,Chultan,Chult,Camp de bûcherons,Théurgique,"-1,67",3,-2,-2,8,-5,6,-1,"189,9","97,4",2,-7,-1,-8,-2,3,3,-1,4,-14,-4,-6,-6,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun
CH-00006,2,Human,Chondathan,Vilhon Reach,Ville moyenne,Théurgique,"-5,24",-2,-2,-1,2,-1,-1,-1,"168,0","67,4",0,-4,2,1,-1,-6,1,1,-7,-3,2,0,-2,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun
CH-00007,25,Half-elf,Wild Half-elf,Silver Marches (Luruar),Bourg / Petite ville,None,"27,8",5,3,3,3,4,6,-1,"189,9","97,4",2,-5,7,1,3,10,-1,0,-2,-7,7,-1,-1,NO,,Non-magique,Méditation + Immunité sommeil + VN (N1)
CH-00008,8,Human,Chultan,The Shaar,Ville moyenne,Arcanique,"-9,45",-2,-3,-3,6,-6,1,-2,"175,5","74,8",1,-3,-6,-3,-3,7,2,-2,-5,-5,-7,-4,-2,YES,Magicien,Arcaniste (magie savante),Aucun
CH-00009,12,Halfling,Strongheart Halfling,Sembia,Bourg / Petite ville,Arcanique,"-8,92",-15,-4,-2,-16,1,-19,-1,"122,4","26,1",-7,13,1,8,-1,6,11,11,3,24,3,13,10,YES,Magicien,Arcaniste (magie savante),Robustesse
CH-00010,10,Human,Ffolk,Moonshae Isles,Village rural,Théurgique,"-2,07",2,0,-2,1,-5,4,0,"181,7","87,7",1,2,-8,-1,-3,3,4,5,-1,-1,-9,-2,0,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun
