ID,Race,Ethnicity,Origin_Region,Settlement_Type,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Combat_Points,Magic,Magic_Type,Magic_Subtype,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
PERSO-019,Human,Chondathan,Western Heartlands,Village rural,Plains Tracking | Marsh Movement | Open Land Navigation,,"Fey & Feywild Knowledge | Trade Routes & Commerce | Guilds & Organizations | History of the Realms | Halfling Culture | Festivals, Calendars & Traditions | Aberration Lore",Navigation (Land & Sea) | Leatherworking & Tanning | Perfumery & Cosmetics,Chondathan | Sembian,Chondathan,7.3,NO,None,,-1,1,3,2,5,177.2,71.0,1,0,0,7,1,-7,2,0,4,2,Aucun,2026-05-26 22:58:38
PERSO-020,Human,Tethyrian,Western Heartlands,Bourg / Petite ville,Wild Plant Foraging,Streetwise (Urban Underworld) | Guild Knowledge & Politics | Urban Stealth & Shadowing,Court Etiquette & Protocol | Divine Myths & Legends | Dragon Lore | Magical Schools & Traditions | History of the Realms | Aberration Lore | Major Cities & Regions,Masonry,Chondathan,Chondathan | Illuskan | Tethyrian,6.16,NO,None,,-6,-2,6,-1,5,152.5,51.8,-2,3,-1,4,5,3,-1,-1,7,0,Aucun,2026-05-26 22:58:38
PERSO-021,Human,Chondathan,Chondath,Village rural,Oceanic Navigation | Littoral Foraging | River Crossing | Advanced Tracking | Plains Tracking,,History of the Realms | Cultural Interactions | Spellplague & Its Aftermath | Trade Routes & Commerce,Alchemy (Theory & Practice) | Masonry,None,Chondathan | Cormyrian,3.64,NO,None,,1,0,2,0,10,175.4,83.2,1,-1,-5,5,2,-11,2,-7,0,-4,Aucun,2026-05-26 22:58:38
PERSO-022,Dwarf,Gold Dwarf,Great Rift,Village de montagne,Technical Rock Climbing | Underground Navigation | Complex Terrain Navigation | Deep-Sea Fishing | Wild Plant Foraging | Mountain Endurance,,Guilds & Organizations | Spellplague & Its Aftermath | Laws & Customs of Nations | Elven Culture,Candle & Soap Making,None,Géant | Nain,-7.98,YES,Théurgique,Magie Blanche,-1,-3,-3,-9,0,115.2,57.5,-8,-3,2,0,-3,3,2,-3,-1,2,Vision dans le noir + Robustesse naine,2026-05-26 22:58:38
PERSO-023,Human,Mulan,Mulhorand,Ville moyenne,Desert Water Mastery | Marsh Movement,Streetwise (Urban Underworld) | Sleight of Hand & Cheating | Poison Lore & Subtle Application,Halfling Culture | Divine Myths & Legends | Major Religions & Deities,Carpentry & Woodworking,Thorass,Chessentan | Mulhorandi,-6.32,YES,Arcanique,Magicien,-1,-1,-3,-3,0,163.4,71.0,-1,5,-10,2,-1,-2,4,8,5,-10,Aucun,2026-05-26 22:58:38
PERSO-024,Human,Tethyrian,Western Heartlands,Ville moyenne,Advanced Tracking | Forest Stealth,Disguise & Impersonation | Criminal Organizations & Syndicates | Criminal Organizations & Syndicates,Lost Kingdoms & Cities | History of Magic,Architecture,Chondathan,Sembian | Tethyrian | Thorass,-7.92,YES,Théurgique,Magie Blanche,-4,-4,0,-4,6,160.6,67.4,-1,-6,-3,0,1,-7,-1,-2,-5,-3,Aucun,2026-05-26 22:58:38
PERSO-025,Human,Chondathan,Chondath,Village forestier,Advanced Tracking | River Crossing | Oceanic Navigation | Dark Water Swimming | Coastal Survival,,"Orc & Goblinoid Culture | Geography of Faerûn | Festivals, Calendars & Traditions | Political Currents & Rivalries | Dragon Lore",Preservation & Salting,None,Chondathan | Thorass,-8.92,YES,Théurgique,Magie Verte,-4,-4,-1,-4,3,162.0,63.9,-1,-3,-2,-5,2,4,4,-11,-5,-4,Aucun,2026-05-26 22:58:38
PERSO-026,Human,Damaran,Silver Marches (Luruar),Village forestier,Complex Terrain Navigation | Wild Plant Foraging | Technical Rock Climbing | Mountain Endurance | Trapping and Snaring | Advanced Tracking,Criminal Organizations & Syndicates | Urban Stealth & Shadowing,"Weave Theory | Local Folklore & Legends | Cosmology (Weave, Shadow Weave) | Guilds & Organizations | Fall of Myth Drannor | Spellplague & Its Aftermath",Weaving & Spinning,Chondathan | Thorass,Damaran | Illuskan | Nain | Nar | Vaasan,-5.32,YES,Sauvage,Magie Noire,0,-1,-3,-3,1,157.6,71.0,-2,0,-2,2,-3,0,1,-9,1,-2,Aucun,2026-05-26 22:58:38
PERSO-027,Human,Tethyrian,Baldur's Gate,Bourg / Petite ville,Wild Plant Foraging | Storm and Seasickness Mastery,Sleight of Hand & Cheating | Fences and Buyers Network,"Geography of Faerûn | History of Netheril | Major Cities & Regions | History of the Realms | Elven Culture | Magical Schools & Traditions | Cosmology (Weave, Shadow Weave)",Carpentry & Woodworking,None,Chondathan | Elven High Speech | Tethyrian,-3.62,YES,Théurgique,Magie Blanche,0,-1,-2,-1,2,175.4,83.2,1,-5,-3,4,-2,4,2,-5,-4,-2,Aucun,2026-05-26 22:58:38
PERSO-028,Human,Damaran,Damara,Village rural,Hermetic Medicine | Mountain Endurance | Extreme Cold Resistance,,Weave Theory | Trade Routes & Commerce | Elven Culture | Spellplague & Its Aftermath | Local Folklore & Legends,Viticulture & Winemaking | Dyeing & Textile Coloring | Leatherworking & Tanning,Chondathan | Thorass,Chondathan | Reghed,-7.75,YES,Théurgique,Magie Verte,-2,-1,-6,-2,-1,148.3,54.6,-3,5,6,-8,-4,2,1,-4,1,3,Aucun,2026-05-26 22:58:38
