ID,Level,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Magic_Item_Capital,Final_Pocket_Money_BP,Armes_et_Bouclier,Prebuilt_Kit_Tier,Prebuilt_Kit_Cost_Sp,Prebuilt_Kit_Source,Combat_Points,Magic,Magic_Type,Magic_Subtype,Magic_And_Spells,God,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00001,1,Dwarf,Gold Dwarf,Great Rift,Dwarven Fortress,Groupe6_Bloc_Nain,Advanced Tracking,Urban Stealth & Shadowing | Poison Lore & Subtle Application | Disguise & Impersonation | Information Brokerage,"Dragon Lore | Trade Routes & Commerce | Ancient Realms (Netheril, Imaskar...) | History of the Realms",Stoneworking | Dyeing & Textile Coloring,Nain | Thorass,Nain | Undercommon,112,394,0,"Padded Jack, Kettle Hat, Halberd | Wand of Magic Detection (Uncommon) (210 sp) | Plume à encre infinie (Common) (80 sp) | Darts +1 (Uncommon) (11 sp) | Sling Bullets +1 (Uncommon) (11 sp) | Chandelle de lumière éternelle (Common) (50 sp) | Bead of Nourishment (Common) (30 sp)",Kit 26,112.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,8.01,NO,None,,,None,5,0,0,-6,6,118.2,71.0,-7,1,5,-3,0,-1,0,-4,-1,4,Vision dans le noir + Robustesse naine,2026-06-09 21:41:29
CH-00002,1,Human,Damaran,Damara,Fortified City,Groupe5_Nord_Sauvage,Hermetic Medicine | Extreme Cold Resistance | Technical Rock Climbing | Complex Terrain Navigation,Disguise & Impersonation | Smuggling Networks | Heraldry & Lineage Recognition | Guild Knowledge & Politics,Orc & Goblinoid Culture | Fall of Myth Drannor | History of Netheril,Leatherworking & Tanning,Illuskan,Chondathan | Illuskan | Nar,185,357,0,"Dragon Scale Brigandine (4x), Scimitar, Composite Bow, Arrows | Darts +1 (Uncommon) (11 sp) | Philter of Love (Uncommon) (40 sp) | Eyes of Minute Seeing (Uncommon) (170 sp) | Boussole du nord vrai (Common) (120 sp) | Arrows +1 (Uncommon) (11 sp)",Kit 56,185.0,100_Kits_Druide_Complete_100kits.txt,-13.59,YES,Théurgique,Magie Verte,,Chauntea,-5,-5,-7,-6,8,155.0,60.6,-2,0,-6,-10,-2,6,-3,-8,-5,-10,Aucun,2026-06-09 21:41:29
CH-00003,1,Human,Chondathan,The Dalelands,Forest Village,Groupe3_Coeur_Continental,Open Land Navigation | Forest Stealth | Plains Tracking | Complex Terrain Navigation | Advanced Tracking | Wild Plant Foraging,,Geography of Faerûn | Major Cities & Regions,Forgery of Official Documents | Cartography,Chondathan,Chondathan | Druidic | Turmish,137,381,180,"Padded Jack, Sallet, Guisarme | Ring of Warmth (Uncommon) (340 sp) | Darts +1 (Uncommon) (11 sp) | Sling Bullets +1 (Uncommon) (11 sp) | Javelins +1 (Uncommon) (11 sp)",Kit 29,119.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,-8.14,YES,Sauvage,Magie Verte,,Deneir,-1,-2,-7,-2,3,178.6,74.8,1,1,-6,-5,-4,3,6,-6,-3,-8,Aucun,2026-06-09 21:41:29
CH-00004,1,Human,Tethyrian,The Dalelands,Rural Village,Groupe3_Coeur_Continental,Plains Tracking | Advanced Tracking | Complex Terrain Navigation,,Laws & Customs of Nations | Genasi & Elemental Peoples | Geography of Faerûn | Legendary Artifacts & Relics,Stoneworking | Cartography,Chondathan | Thorass,Chondathan | Cormyrian,149,375,950,"Reinforced Gambeson (long), Bec de Corbin | Boîte à musique enchantée (Common) (250 sp) | Potion of Animal Friendship (Uncommon) (50 sp) | Bead of Nourishment (Common) (30 sp) | Philter of Love (Uncommon) (40 sp)",Kit 14,54.0,100_Kits_Druide_Complete_100kits.txt,-5.51,YES,Théurgique,Magie Verte,,Silvanus,0,-1,-6,-1,2,175.5,74.8,1,0,-2,-2,-4,4,1,7,-2,-3,Aucun,2026-06-09 21:41:29
CH-00005,1,Human,Tethyrian,Sword Coast,Fishing Village,Groupe1_Cote_des_Epees,Wild Plant Foraging | Snow and Ice Shelter Building | Subterranean Hazard Resistance | Advanced Tracking | Primitive Fire Mastery | Forest Stealth,,Cultural Interactions | Divine Myths & Legends | Major Religions & Deities | Magical Schools & Traditions,Leatherworking & Tanning,Elfique | Thorass,Chondathan | Cormyrian | Elfique,129,385,90,"Padded Jack, Kettle Hat, Javelin (6) x3, Military Fork, Dagger | Mini-Potion de soin (Common) (100 sp) | Darts +1 (Uncommon) (11 sp) | Poudre de réveil (Common) (50 sp) | Potion of Poison (Uncommon) (40 sp) | Cape de séchage rapide (Common) (100 sp) | Javelins +1 (Uncommon) (11 sp) | Tissu autonettoyant (Common) (70 sp)",Kit 105,120.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,-8.8,YES,Sauvage,Magie Blanche,,Selûne,-2,-5,-1,-5,10,169.3,74.8,0,-7,-2,-10,3,-2,-1,-8,-13,-6,Aucun,2026-06-09 21:41:29
CH-00006,1,Human,Tethyrian,Baldur's Gate,Fishing Village,Groupe1_Cote_des_Epees,Forest Stealth | Coastal Survival | Oceanic Navigation | Storm and Seasickness Mastery | Advanced Tracking | Wild Plant Foraging,,Political Currents & Rivalries | Fall of Myth Drannor | Trade Routes & Commerce | Dragon Lore,Shipbuilding | Masonry,Chondathan,Chondathan,307,296,130,"Arming Doublet, Simple Breastplate, Bascinet, Longsword, Dagger | Dust of Dryness (Uncommon) (150 sp) | Javelins +2 (Rare) (40 sp) | Chandelle de lumière éternelle (Common) (50 sp) | Javelins +1 (Uncommon) (11 sp) | Sling Bullets +1 (Uncommon) (11 sp) | Bead of Nourishment (Common) (30 sp)",Kit 51,294.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,-5.78,YES,Théurgique,Magie Blanche,,Tymora,-2,-1,-3,-1,2,171.0,67.4,0,2,-3,2,-3,5,-6,10,3,-3,Aucun,2026-06-09 21:41:29
CH-00007,1,Dwarf,Urdunnir,Great Rift,Mining Camp,Groupe6_Bloc_Nain,Technical Rock Climbing | Advanced Tracking | Underground Navigation | Complex Terrain Navigation,Smuggling Networks,Spellplague & Its Aftermath | History of the Realms | Divine Myths & Legends | Legendary Artifacts & Relics,Accounting & Estate Management | Cooking (Fine Cuisine),Géant | Nain,Géant | Nain,108,396,30,"Gambeson (long / fended), Cervelliere, Falchion, Great Buckler | Rope of Climbing (Uncommon) (240 sp) | Javelins +1 (Uncommon) (11 sp) | Tissu autonettoyant (Common) (70 sp) | Potion of Animal Friendship (Uncommon) (50 sp) | Sling Bullets +1 (Uncommon) (11 sp) | Darts +1 (Uncommon) (11 sp)",Kit 24,105.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,38.58,NO,None,,,Urogalan,11,5,1,-4,1,143.5,114.1,-3,2,-7,8,0,9,-3,0,1,-5,Marche à travers la pierre,2026-06-09 21:41:29
CH-00008,1,Human,Rashemi,Rashemen,Logging Camp,Groupe10_Rashemen,Advanced Tracking | Wild Plant Foraging | Forest Stealth | Complex Terrain Navigation,,Local Folklore & Legends | Legendary Artifacts & Relics | Weave Theory | Political Currents & Rivalries,Smithing & Metallurgy | Herbalism & Potion Brewing,Rashemi,Infernal | Rashemi,105,397,0,"Aketon, Sling, Sling Bullets 15, Dart (3) x3, Buckler | Hat of Disguise (Uncommon) (290 sp) | Cape de séchage rapide (Common) (100 sp)",Kit 103,105.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,26.68,NO,None,,,Helm,1,3,8,2,-3,162.0,67.4,-1,5,3,7,6,-4,3,2,8,5,Aucun,2026-06-09 21:41:29
CH-00009,1,Human,Tethyrian,The Dalelands,Remote Trading Post,Groupe3_Coeur_Continental,Complex Terrain Navigation | Forest Stealth | Advanced Tracking,Urban Observation and Tailing,Geography of Faerûn | Divine Myths & Legends | Halfling Culture | Weave Theory,Magical Goldsmithing (Theoretical),Chondathan | Thorass,Chondathan,150,375,300,"Padded Jack, Kettle Hat, Javelin (6) x3, Military Fork, Dagger | Wind Fan (Uncommon) (100 sp) | Darts +1 (Uncommon) (11 sp) | Pipes of the Sewers (Uncommon) (220 sp) | Bead of Nourishment (Common) (30 sp) | Javelins +1 (Uncommon) (11 sp)",Kit 105,120.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,-10.24,YES,Théurgique,Magie Blanche,,Milil,-4,-5,-1,-6,6,149.4,63.9,-3,-8,0,-3,0,2,1,-4,-8,-1,Aucun,2026-06-09 21:41:29
CH-00010,1,Human,Mulan,Unther,Small Town,Groupe12_Old_Empires,Technical Rock Climbing | Underground Navigation,Streetwise (Urban Underworld) | Lockpicking and Trap Disarming | Temple Politics & Religious Intrigue,"History of Magic | History of the Realms | Cosmology (Weave, Shadow Weave)",Cooking (Fine Cuisine) | Architecture | Glassworking,Thorass,Chessentan | Mulhorandi | Thayan | Untheric,129,385,90,"Padded Jack, Kettle Hat, Javelin (6) x3, Military Fork, Dagger | Dust of Disappearance (Uncommon) (230 sp) | Plume à encre infinie (Common) (80 sp) | Philter of Love (Uncommon) (40 sp) | Javelins +1 (Uncommon) (11 sp) | Darts +1 (Uncommon) (11 sp)",Kit 105,120.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,31.13,NO,None,,,Gilgeam,5,3,6,3,1,185.0,87.7,2,4,1,-1,7,2,1,-2,0,0,Aucun,2026-06-09 21:41:29
