ID,Level,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Magic_Item_Capital,Final_Pocket_Money_BP,Armes_et_Bouclier,Prebuilt_Kit_Tier,Prebuilt_Kit_Cost_Sp,Combat_Points,Magic,Magic_Type,Magic_Subtype,Magic_And_Spells,God,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00001,1,Human,Tethyrian,Western Heartlands,Isolated Farmstead,Groupe3_Coeur_Continental,Advanced Tracking | Game Butchering and Preservation | Arctic Hunting | Wild Plant Foraging | Technical Rock Climbing,Forgery of Documents & Seals,"Trade Routes & Commerce | Ancient Realms (Netheril, Imaskar...) | Nobility & Heraldry | History of Magic",Smithing & Metallurgy | Accounting & Estate Management,Chondathan,Chondathan | Cormyrian | Elfique | Tethyrian,133,383,140,"Padded Jack, Sallet, Guisarme | Potion of Mind Reading (Rare) (150 sp) | Eyes of Minute Seeing (Uncommon) (170 sp) | Potion of Poison (Uncommon) (40 sp)",Kit 27,119.0,11.29,NO,None,,,Helm,-1,1,6,-1,7,161.9,71.0,-1,1,-5,12,3,-5,-6,3,7,-1,Aucun,2026-06-09 14:57:21
CH-00002,1,Elf,Moon Elf,Cormanthor,Elven Enclave,Groupe3_Coeur_Continental,,City Secrets & Hidden Routes | Urban Stealth & Shadowing | Fences and Buyers Network | Black Market Operations,"History of the Realms | Cosmology (Weave, Shadow Weave) | Major Cities & Regions | Spellplague & Its Aftermath",Masonry,Druidic | Thorass,Druidic | Elfique,110,395,0,"Component Pouch, Short bow, Arrows 12, Healing Potion basic, Fine Cloak | Universal Solvent (Legendary) (310 sp) | Poudre de réveil (Common) (50 sp) | Bead of Nourishment (Common) (30 sp)",Kit 41,110.0,-7.54,YES,Arcanique,Magicien,Shocking Grasp | Fire Bolt | Ice Knife | Floating Disk (Tenser's) | Color Spray | Light,None,-8,-5,-3,-1,0,166.8,51.8,0,-2,1,-3,-2,3,5,6,-1,0,Transe + Immunité sommeil + VN (N2),2026-06-09 14:57:21
CH-00003,1,Human,Chultan,Chult,Logging Camp,Groupe3_Coeur_Continental,Forest Stealth | Marsh Movement | Marsh Disease Resistance | Wild Plant Foraging,,Ruins & Major Archaeological Sites | Divine Myths & Legends | Gnomish Culture | Geography of Faerûn,Accounting & Estate Management | Leatherworking & Tanning | Cartography,Chondathan | Chultan,Chondathan | Chultan,80,410,30,"Padded Jack, Kettle Hat, Billhook, Petty Buckler | Dust of Disappearance (Uncommon) (230 sp) | Poudre de réveil (Common) (50 sp) | Healing Salve (N/A) (120 sp)",Kit 19,77.0,-3.62,YES,Théurgique,Magie Blanche,,Eshowdow,-2,-1,-1,0,2,169.5,67.4,0,-3,4,-1,-1,1,-3,0,-3,3,Aucun,2026-06-09 14:57:21
CH-00004,1,Dwarf,Shield Dwarf,Mithral Hall,Fortified City,Groupe6_Bloc_Nain,Complex Terrain Navigation | Technical Rock Climbing | Underground Navigation,Disguise & Impersonation | Black Market Operations | Urban Observation and Tailing,"Dwarven Culture | Ancient Realms (Netheril, Imaskar...) | Geography of Faerûn | Guilds & Organizations",Cabinetmaking & Marquetry,Nain | Géant,Géant | Nain | Thorass,120,390,10,"Padded Jack, Sallet, Guisarme | Healing Salve (N/A) (120 sp) | Wind Fan (Uncommon) (100 sp) | Philter of Love (Uncommon) (40 sp) | Potion of Growth (Uncommon) (120 sp)",Kit 27,119.0,16.61,NO,None,,,None,7,1,1,-4,6,157.1,102.7,-2,-2,-5,2,2,10,3,6,-4,-5,Vision dans le noir + Robustesse naine,2026-06-09 14:57:21
CH-00005,1,Human,Chondathan,Sword Coast,Fishing Village,Groupe1_Cote_des_Epees,Desert Water Mastery | Plains Tracking | Desert Thermal Endurance | Shelter Construction | Advanced Tracking,,Trade Routes & Commerce | Major Cities & Regions,Cooking (Fine Cuisine),Tethyrian,Chondathan | Tethyrian | Turmish,175,362,60,"Brigandine, Kettle Hat, Glaive, Dagger | Rope of Climbing (Uncommon) (240 sp) | Potion of Poison (Uncommon) (40 sp) | Potion of Climbing (Common) (80 sp)",Kit 32,169.0,-7.01,YES,Sauvage,Magie Noire,,Eldath,0,-1,-10,-1,2,165.0,67.4,-1,3,3,-7,-8,8,0,5,-2,0,Aucun,2026-06-09 14:57:21
CH-00006,1,Human,Tethyrian,Amn,Major Trade City,Groupe2_Sud_Marchand,Forest Stealth,Urban Stealth & Shadowing | Urban Observation and Tailing | Sleight of Hand & Cheating | Fences and Buyers Network | Guild Knowledge & Politics,Genasi & Elemental Peoples | Geography of Faerûn | Political Currents & Rivalries | Local Folklore & Legends,Fireworks Making | Candle & Soap Making,Chessentan,Chessentan | Chondathan | Cormyrian | Tethyrian,430,235,140,"Aketon, Mail Coat, Bascinet, Aventail, Broadsword, Dagger | Gourde de tempérance (Common) (150 sp) | Potion of Climbing (Common) (80 sp)",Kit 69,416.0,13.93,NO,None,,,Waukeen,6,2,0,-1,8,163.1,87.7,-1,-2,6,-3,0,8,-5,6,-6,5,Aucun,2026-06-09 14:57:21
CH-00007,1,Human,Tethyrian,Amn,Smuggler's Port,Groupe2_Sud_Marchand,Desert Water Mastery | Desert Thermal Endurance | Forest Stealth | Advanced Tracking,Streetwise (Urban Underworld),"Ruins & Major Archaeological Sites | Geography of Faerûn | Festivals, Calendars & Traditions | History of the Realms",Shipbuilding | Ceramics & Pottery,Chondathan | Thorass,Chondathan | Illuskan,263,318,20,"Arming Doublet, Mail Voiders, Cuisses, Sallet, Pike, Arming Sword, Dagger | Poudre de réveil (Common) (50 sp) | Efficient Quiver (Uncommon) (140 sp) | Armor of Vulnerability (Rare) (80 sp) | Bead of Nourishment (Common) (30 sp)",Kit 44,261.0,13.64,NO,None,,,Chauntea,4,3,-4,3,6,190.1,87.7,2,4,-1,3,-4,-3,-2,2,3,0,Aucun,2026-06-09 14:57:21
CH-00008,1,Human,Tethyrian,The Dalelands,Logging Camp,Groupe3_Coeur_Continental,Wild Plant Foraging | Advanced Tracking | Forest Stealth | Underground Navigation | Complex Terrain Navigation | Plains Tracking,,"Major Cities & Regions | Court Etiquette & Protocol | Cosmology (Weave, Shadow Weave) | Laws & Customs of Nations",Fireworks Making,Chondathan | Thorass,Chondathan | Tethyrian,115,392,0,"Coat of Plates, Kettle Hat, Bill | Chime of Opening (Rare) (280 sp) | Bead of Nourishment (Common) (30 sp) | Philter of Love (Uncommon) (40 sp) | Potion of Poison (Uncommon) (40 sp)",Kit 26,115.0,4.64,NO,None,,,Oghma,2,1,1,0,7,181.9,78.9,1,3,-1,-3,3,4,4,2,-1,-2,Aucun,2026-06-09 14:57:21
CH-00009,1,Human,Tethyrian,Western Heartlands,Remote Trading Post,Groupe3_Coeur_Continental,Marsh Movement | Forest Stealth | Wild Plant Foraging,Streetwise (Urban Underworld),"Spellplague & Its Aftermath | Cultural Interactions | Festivals, Calendars & Traditions | Ruins & Major Archaeological Sites",Smithing & Metallurgy | Dyeing & Textile Coloring,Chondathan | Thorass,Chondathan | Tethyrian,150,375,0,"Quarterstaff, Bone human, Component Pouch, Lantern hooded, **Dagger (14)** | Cape de séchage rapide (Common) (100 sp) | Potion of Gaseous Form (Rare) (210 sp) | Potion of Animal Friendship (Uncommon) (50 sp)",Kit 49,150.0,-10.08,YES,Arcanique,Magicien,Sleep | Fire Bolt | Grease | Shocking Grasp | Charm Person | Alarm,Milil,-7,-5,0,-5,4,162.0,63.9,-1,-6,-10,5,1,-2,4,-2,-1,-9,Aucun,2026-06-09 14:57:21
CH-00010,1,Human,Arkaiun,Cormyr,Small Town,Groupe3_Coeur_Continental,Forest Stealth | Advanced Tracking,Streetwise (Urban Underworld) | Lockpicking and Trap Disarming | Black Market Operations | Fences and Buyers Network,Legendary Artifacts & Relics | Court Etiquette & Protocol,Weaving & Spinning | Ritual Object Crafting | Heraldry & Lineage,None,Arkaiun | Chessentan | Chondathan | Dambrathan,257,321,230,"Arming Doublet, Mail Voiders, Coat of Plates, Vambraces, Couters, Kettle Hat, Mace, Dagger | Chandelle de lumière éternelle (Common) (50 sp) | Wand of Secrets (Uncommon) (130 sp) | Poudre de réveil (Common) (50 sp) | Potion of Poison (Uncommon) (40 sp) | Potion of Animal Friendship (Uncommon) (50 sp)",Kit 42,234.0,6.34,NO,None,,,Torm,4,0,-2,1,15,188.3,92.4,2,-7,7,-7,-1,2,-6,-7,-13,4,Aucun,2026-06-09 14:57:21
