ID,Race,Ethnicity,Origin_Region,Settlement_Type,Total_Skills,Outdoor_Count,Urban_Count,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Bonus_Languages,Combat_Points,Magic,Magic_Type,Magic_Subtype,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00001,Human,Damaran,Damara,Bourg / Petite ville,5,2,3,Extreme Cold Resistance | Rock Climbing,Sleight of Hand | Fences and Buyers Network | Urban Stealth,Géographie de Faerûn | Religions et divinités majeures | Connaissance des organisations secrètes | Chute de Myth Drannor | Culture elfique,Serrurerie et mécanismes | Cartographie | Broderie et couture fine,,Chondathan | Vaasan,3.64,NO,None,,1,2,-1,1,2,172.4,71.0,0,5,0,3,-2,0,11,1,5,1,Aucun,2026-05-26 11:37:40
CH-00002,Half-elf,Moon Half-elf,Sembia,Grande Ville marchande,3,0,3,,Black Market Operations | Noble Houses and Politics | Fences and Buyers Network,Cultes et ordres religieux | Chute de Myth Drannor | Culture naine | Ruines et sites archéologiques majeurs | Routes commerciales et voies marchandes,Élevage et dressage | Reliure de livres,Chondathan (Alphabet Thorass),Chondathan,15.74,NO,None,,-4,-1,8,-1,4,172.6,63.9,0,2,-5,5,8,0,2,-4,5,-4,Méditation + Immunité sommeil + VN (N1),2026-05-26 11:37:40
CH-00003,Gnome,Rock Gnome,Pics de Mir,Cité souterraine,5,5,0,Open Field Orientation | Mountaineering and Portage | Rock Climbing | Plains Tracking | Tropical Disease Resistance,,"Connaissance des dragons | Religions et divinités majeures | Cosmologie (Weave, Shadow Weave) | Connaissance des fées et du Feywild | Étiquette et protocole de cour | Genasi et peuples élémentaires",Architecture | Charpenterie et travail du bois | Comptabilité et gestion de biens,Chondathan (Alphabet Thorass) | Thorass (Alphabet Thorass),Chondathan | Illuskan,9.84,NO,None,,-8,-2,7,-1,-4,126.5,37.7,-6,4,9,5,4,-4,8,1,12,10,Vision nocturne N1,2026-05-26 11:37:40
CH-00004,Human,Calishite,Lake of Steam,Grande Ville portuaire,6,3,3,Underground Stealth | Desert Survival | Rock Climbing,Streetwise (Urban Underworld) | Disguise | Lockpicking and Trap Disarming,Étiquette et protocole de cour | Noblesse et héraldique | Lois et coutumes des nations | Écoles et traditions magiques,Apiculture | Forge et métallurgie | Travail du cuir et tannerie,Chondathan (Alphabet Thorass) | Abyssal (Alphabet Abyssal),Chondathan | Lantanna | Mulhorandi,28.38,NO,None,,8,4,-2,3,4,195.0,102.7,3,5,0,-3,-1,0,0,5,-2,-1,Aucun,2026-05-26 11:37:40
CH-00005,Human,Ffolk,Moonshae Isles,Village côtier / de pêcheurs,6,5,1,Open Field Orientation | Swamp Survival | Desert Survival | Maritime Navigation | Rock Climbing,Building Climbing / Parkour,"Ruines et sites archéologiques majeurs | Mythes et légendes divines | Fêtes, calendriers et traditions | Culture elfique | Noblesse et héraldique | Connaissance des cités et régions majeures",Maçonnerie,,Chondathan | Illuskan,-7.63,YES,Théurgique,Magie Verte,-1,-2,-10,0,1,178.8,71.0,1,-4,5,-8,-8,5,8,4,-8,2,Aucun,2026-05-26 11:37:40
CH-00006,Human,Illuskan,Luskan,Grande Ville portuaire,6,3,3,Deep Sea Fishing | Maritime Navigation | Desert Survival,Criminal Organizations | Guild Knowledge | Urban Stealth,"Artefacts et reliques légendaires | Genasi et peuples élémentaires | Fêtes, calendriers et traditions | Folklore et légendes locales | Culture halfeline",Charpenterie et travail du bois,Illuskan (Alphabet Thorass),Illuskan | Sossrim,4.27,NO,None,,-5,-3,5,0,11,177.3,67.4,1,-8,-1,7,3,-5,-5,-1,-2,1,Aucun,2026-05-26 11:37:40
CH-00007,Human,Mulan,Mulhorand,Ville moyenne,6,2,4,Mountaineering and Portage | Desert Survival,Lockpicking and Trap Disarming | Urban Stealth | Guild Knowledge | Urban Observation and Tailing,Spellplague et ses conséquences | Lois et coutumes des nations | Connaissance des cités et régions majeures | Courants politiques et rivalités,Calligraphie et enluminure,Mulhorandi (Alphabet Mulhorandi),Infernal | Mulhorandi,3.0,NO,None,,1,1,0,1,5,169.3,74.8,0,0,3,3,-1,-4,7,3,1,4,Aucun,2026-05-26 11:37:40
CH-00008,Dwarf,Shield Dwarf,Citadel Adbar,Village de montagne,3,3,0,Rock Climbing | Underground Navigation | Mountaineering and Portage,,Culture orc et gobelinoïde | Mythes et légendes divines | Courants politiques et rivalités | Folklore et légendes locales | Culture naine | Connaissance des guildes et corporations,Maçonnerie | Architecture | Herboristerie et préparation de potions,,Nain,-4.93,YES,Arcanique,Magicien,-1,-4,1,-8,6,130.5,71.0,-5,-8,-2,0,2,2,-4,3,-7,-2,Vision dans le noir + Robustesse naine,2026-05-26 11:37:40
CH-00009,Human,Tethyrian,Baldur's Gate,Grande Ville portuaire,7,1,6,Mountain Navigation,Black Market Operations | Forgery | Building Infiltration | Disguise | Sleight of Hand | City Secrets and Hidden Routes,Interactions culturelles | Géographie de Faerûn,Comptabilité et gestion de biens | Architecture,Chondathan (Alphabet Thorass) | Illuskan (Alphabet Thorass),Chondathan | Cormyrian | Sembian,-6.88,YES,Arcanique,Magicien,-2,-2,-4,-1,3,166.4,67.4,0,-4,4,-3,-3,-4,1,2,-5,3,Aucun,2026-05-26 11:37:40
CH-00010,Human,Chondathan,Vilhon Reach,Ville moyenne,4,1,3,Mountain Navigation,Criminal Organizations | Sleight of Hand | Building Infiltration,"Connaissance des fées et du Feywild | Races anciennes (Netheril, Imaskar...) | Astronomie et navigation stellaire | Culture naine",Fabrication de chandelles et savon | Viticulture et vinification,Chondathan (Alphabet Thorass),Chondathan | Illuskan,-3.26,YES,Arcanique,Magicien,-4,-2,1,0,2,180.5,67.4,1,-6,1,5,0,-7,-1,-5,-2,2,Aucun,2026-05-26 11:37:40
