ID,Indice,Race,Ethnicity,Origin_Region,Settlement_Type,Bonus_Languages,Magic_Type,Combat_Points,Grappling,Melee,Fencing,Skill_Modifier,Num_Active_Skills,Projectiles,Weight_Score,Build_Score,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Regeneration,Vigilance,Beauty,Stealth,Speed,Dodge,Climbing,Magic,Magic_Subtype,Magic_Description,Special,Active Skills,Knowledge,Craft,Literacy
CH-00001,3,Human,Damaran,Impiltur,Ville moyenne,Chondathan + Impilturan,None,"4,8",4,1,-1,10,,-3,3,7,"167,7","83,2",0,4,-3,-1,-2,4,9,-4,-1,1,-4,-3,2,NO,,Non-magique,Aucun,,"Interactions culturelles
Culture orc et gobelinoïde","Charpenterie et travail du bois
Maçonnerie
Herboristerie et préparation de potions","Chondathan (Alphabet Thorass)
Elfique (Alphabet Espruar)"
CH-00002,13,Halfling,Lightfoot Halfling,Dambrath,Poste de commerce isolé,Chondathan + Elfique,Théurgique,"-2,64",-14,-4,-2,-14,,4,-16,1,"126,8","30,6",-6,4,5,11,0,-1,2,10,3,17,8,11,6,YES,Théurgiste,Théurgiste (magie divine instinctive),Furtivité,,"Connaissance des dragons
Routes commerciales et voies marchandes",Travail du cuir et tannerie,
CH-00003,1,Human,Calishite,Amn,Bourg / Petite ville,Chondathan + Lantanna + Mulhorandi,Arcanique,"-10,86",-6,-5,-4,6,,-2,-2,-6,"172,6","63,9",0,-5,-3,-5,1,4,3,-1,-1,-6,-5,-3,-4,YES,Magicien,Arcaniste (magie savante),Aucun,,"Astronomie et navigation stellaire
Genasi et peuples élémentaires
Religions et divinités majeures
Connaissance des cités et régions majeures
Connaissance des guildes et corporations","Cartographie
Travail du cuir et tannerie
Comptabilité et gestion de biens",
CH-00004,7,Human,Tethyrian,The Dalelands,Hameau agricole,Chondathan + Tethyrian + Thorass,None,"0,54",-4,-3,-2,11,,4,-2,3,"159,2","63,9",-1,-5,1,1,4,-2,-2,-1,10,-3,1,-1,-2,NO,,Non-magique,Aucun,,"Lois et coutumes des nations
Histoire des Royaumes Oubliés
Folklore et légendes locales
Culture elfique",Maçonnerie,
CH-00005,7,Human,Tethyrian,Baldur's Gate,Ville moyenne,Chondathan + Tethyrian,None,"6,28",0,1,2,5,,2,-1,5,"159,1","67,4",-1,-2,7,6,-1,7,-7,-4,8,2,9,1,3,NO,,Non-magique,Aucun,,"Mythes et légendes divines
Culture naine
Cosmologie (Weave, Shadow Weave)
Culture elfique",Apiculture,"Chondathan (Alphabet Thorass)
Thorass (Alphabet Thorass)"
CH-00006,146,Human,Vaasan,Vaasa,Ville fortifiée,Chondathan + Reghed + Vaasan,Théurgique,"-5,51",0,-1,-1,1,,-6,0,0,"169,4","71,0",0,5,-3,-6,-3,7,2,2,2,0,-5,-1,0,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Chute de Myth Drannor
Fêtes, calendriers et traditions
Histoire des Royaumes Oubliés
Folklore et légendes locales","Fabrication de chandelles et savon
Broderie et couture fine",
CH-00007,2,Human,Chondathan,Western Heartlands,Ville moyenne,Chondathan + Elfique,Théurgique,"-6,26",-1,-2,-1,5,,-4,0,-7,"180,4","71,0",1,0,0,-8,-1,-2,-7,0,1,-5,-3,-2,-4,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Connaissance des dragons
Courants politiques et rivalités
Culture elfique
Théorie de la Weave
Spellplague et ses conséquences
Cosmologie (Weave, Shadow Weave)","Cuisine raffinée
Construction navale","Chondathan (Alphabet Thorass)
Espruar (Alphabet Espruar)
Thorass (Alphabet Thorass)"
CH-00008,7,Human,Tethyrian,Sword Coast,Port de contrebande,Chondathan + Sembian + Tethyrian,None,"24,85",7,4,2,5,,0,6,7,"176,7","97,4",1,1,3,2,-1,-5,6,-4,0,-2,3,-2,0,NO,,Non-magique,Aucun,,"Interactions culturelles
Fêtes, calendriers et traditions
Écoles et traditions magiques
Lois et coutumes des nations
Culture naine",Cuisine raffinée,"Chondathan (Alphabet Thorass)
Thorass (Alphabet Thorass)"
CH-00009,15,Dwarf,Shield Dwarf,Citadel Adbar,Forteresse naine / Enclave naine,Géant + Nain,Théurgique,"-1,8",1,0,-4,-3,,-3,-2,25,"130,6","63,9",-5,2,0,4,-4,0,9,-1,-3,5,1,0,4,YES,Théurgiste,Théurgiste (magie divine instinctive),Vision dans le noir + Robustesse naine,,"Théorie de la Weave
Histoire de la magie
Fêtes, calendriers et traditions
Histoire des Royaumes Oubliés","Travail du cuir et tannerie
Architecture",
CH-00010,7,Human,Tethyrian,Western Heartlands,Village rural,Chondathan,Arcanique,"-12,33",-5,-5,-6,8,,-4,-1,5,"159,1","67,4",-1,-6,-10,2,-2,-2,4,-2,5,-4,-10,-5,-2,YES,Magicien,Arcaniste (magie savante),Aucun,,"Noblesse et héraldique
Connaissance des cités et régions majeures
Histoire de la magie
Artefacts et reliques légendaires
Culture elfique
Histoire de Netheril",Teinture et coloration,
CH-00011,13,Halfling,Lightfoot Halfling,Reflets (Shades),Cité souterraine,Abyssal + Chondathan + Infernal,None,"6,86",-17,-5,-3,-5,,8,-20,-2,"121,3","24,7",-7,8,4,8,5,5,-2,2,-2,21,6,10,8,NO,,Non-magique,Furtivité,,"Races anciennes (Netheril, Imaskar...)
Histoire des Royaumes Oubliés
Lois et coutumes des nations","Broderie et couture fine
Charpenterie et travail du bois",Chondathan (Alphabet Thorass)
CH-00012,21,Half-elf,Wood Half-elf,High Forest,Village forestier,Chondathan + Elfique + Thorass,Arcanique,"-7,06",-4,-3,-4,4,,-2,-2,-5,"171,0","63,9",0,4,-10,-4,2,-1,-2,2,2,1,-12,-2,-1,YES,Magicien,Arcaniste (magie savante),Méditation + Immunité sommeil + VN (N1),,"Connaissance des dragons
Cosmologie (Weave, Shadow Weave)
Noblesse et héraldique
Histoire de la magie
Religions et divinités majeures
Culture elfique
Connaissance des organisations secrètes","Travail du verre et verrerie
Forge et métallurgie
Cuisine raffinée","Chondathan (Alphabet Thorass)
Thorass (Alphabet Thorass)"
CH-00013,7,Human,Tethyrian,Baldur's Gate,Ville moyenne,Chondathan + Druidic + Sembian + Tethyrian,Théurgique,"-5,78",-3,-2,-1,-2,,-1,-3,1,"159,2","60,6",-1,0,1,1,-1,-4,-1,5,8,2,1,2,0,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Cosmologie (Weave, Shadow Weave)
Histoire de la magie
Fêtes, calendriers et traditions
Cultes et ordres religieux",Élevage et dressage,"Chondathan (Alphabet Thorass)
Thorass (Alphabet Thorass)"
CH-00014,1,Human,Calishite,Calimshan,Grande Ville marchande,Calishite,Arcanique,"-7,96",-1,-3,-4,4,,-3,1,7,"161,8","74,8",-1,-5,-2,-2,-1,3,1,1,-2,-6,-3,-3,-2,YES,Magicien,Arcaniste (magie savante),Aucun,,"Folklore et légendes locales
Religions et divinités majeures
Histoire de la magie","Apiculture
Architecture","Mulhorandi (Alphabet Mulhorandi)
Thorass (Alphabet Thorass)
Goblin (Alphabet Goblin)"
CH-00015,2,Human,Chondathan,Vilhon Reach,Port de contrebande,Chondathan + Halruaan + Illuskan,Arcanique,"-7,02",-3,-2,-2,3,,-2,-2,-1,"165,0","63,9",-1,-3,2,0,-2,-9,-5,1,4,-2,2,0,-3,YES,Magicien,Arcaniste (magie savante),Aucun,,"Culture orc et gobelinoïde
Astronomie et navigation stellaire
Culture elfique
Ruines et sites archéologiques majeurs
Culture gnome","Fabrication de papier et encre
Teinture et coloration
Maçonnerie",Chondathan (Alphabet Thorass)
CH-00016,1,Human,Calishite,Amn,Ville moyenne,Mulhorandi + Tashalan,None,"9,3",1,1,2,11,,3,1,-5,"180,3","74,8",1,0,3,3,2,4,-7,-14,5,1,4,-2,1,NO,,Non-magique,Aucun,,"Connaissance des guildes et corporations
Lois et coutumes des nations",Navigation (terrestre et maritime),Thorass (Alphabet Thorass)
CH-00017,141,Human,Netherese,Silver Marches (Luruar),Hameau isolé,Chondathan + Illuskan + Netherese,None,"37,74",1,3,4,-10,,10,-3,-2,"163,6","60,6",-1,6,11,2,8,10,3,6,-3,7,11,7,4,NO,,Non-magique,Aucun,,"Connaissance des cités et régions majeures
Mythes et légendes divines
Culture halfeline
Astronomie et navigation stellaire
Géographie de Faerûn","Maçonnerie
Forge et métallurgie
Charpenterie et travail du bois",Illuskan (Alphabet Thorass)
CH-00018,7,Human,Tethyrian,Tethyr,Ferme isolée / Domaine,Chondathan,None,"15,95",-1,0,3,6,,6,2,-11,"193,7","78,9",3,-4,-1,7,4,-3,1,-1,3,0,1,0,-1,NO,,Non-magique,Aucun,,"Lois et coutumes des nations
Histoire des Royaumes Oubliés
Connaissance des cités et régions majeures","Ébénisterie et marqueterie
Parfumerie et cosmétique
Architecture",Chondathan (Alphabet Thorass)
