ID,Race,Ethnicity,Origin_Region,Settlement_Type,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Bonus_Languages,Combat_Points,Magic,Magic_Type,Magic_Subtype,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00001,Human,Chondathan,The Dalelands,Hameau agricole,Marsh Disease Resistance | Weather Reading | Advanced Tracking | Subterranean Hazard Resistance,Building Climbing / Parkour | Noble Houses and Politics,"Courants politiques et rivalités | Fêtes, calendriers et traditions | Routes commerciales et voies marchandes | Royaumes et cités perdues",Comptabilité et gestion de biens | Maçonnerie | Architecture,Chondathan (Alphabet Thorass),Chondathan | Cormyrian | Thorass,7.92,NO,None,,2,2,0,2,8,174.0,71.0,0,2,7,-2,0,-7,-3,-4,0,6,Aucun,2026-05-26 16:51:25
CH-00002,Human,Uthgardt,Spine of the World,Camp de bûcherons,Marsh Movement | Primitive Fire Mastery | Desert Thermal Endurance | Battlefield Riding | Dark Water Swimming,,Routes commerciales et voies marchandes | Géographie de Faerûn | Mythes et légendes divines | Histoire des Royaumes Oubliés,Maçonnerie | Cartographie | Broderie et couture fine,,Illuskan,-7.44,YES,Théurgique,Magie Blanche,-3,-2,-4,-2,3,166.4,67.4,0,-1,-3,-2,-2,1,-1,-3,-2,-4,Aucun,2026-05-26 16:51:25
CH-00003,Human,Chondathan,Vilhon Reach,Ville moyenne,Shelter Construction | Desert Water Mastery,Disguise | Urban Stealth,Spellplague et ses conséquences | Lois et coutumes des nations | Culture naine | Culture elfique | Ruines et sites archéologiques majeurs,Fabrication de voiles et cordages,Chondathan (Alphabet Thorass) | Draconique (Alphabet Iokharic),Chondathan | Illuskan,2.64,NO,None,,0,2,-4,2,7,177.2,71.0,1,5,-1,4,-5,0,-3,3,6,0,Aucun,2026-05-26 16:51:25
CH-00004,Human,Chondathan,The Dalelands,Village forestier,Deep-Sea Fishing | River Crossing | Wetland Tracking,City Secrets and Hidden Routes | Building Climbing / Parkour,Culture halfeline | Interactions culturelles | Culture orc et gobelinoïde,Fabrication d’armes et armures | Maçonnerie,Chondathan (Alphabet Thorass),Chondathan | Sembian,3.0,NO,None,,1,1,0,1,7,174.0,71.0,0,2,4,-1,0,-1,0,-3,1,3,Aucun,2026-05-26 16:51:25
CH-00005,Human,Calishite,Calimshan,Port de contrebande,Deep-Sea Fishing | Plains Tracking | Storm and Seasickness Mastery,Noble Houses and Politics | Guild Knowledge,Routes commerciales et voies marchandes | Connaissance des cités et régions majeures | Courants politiques et rivalités | Histoire des Royaumes Oubliés | Interactions culturelles,Taxidermie,Mulhorandi (Alphabet Mulhorandi) | Cormyrian (Alphabet Thorass),Chondathan | Mulhorandi,1.63,NO,None,,-4,-3,5,-5,9,149.5,60.6,-3,-2,-3,2,5,-5,2,-3,1,-3,Aucun,2026-05-26 16:51:25
CH-00006,Human,Ffolk,Moonshae Isles,Hameau agricole,Desert Thermal Endurance | Wild Plant Foraging | Coastal Survival | Dark Water Swimming | Savanna Plant Knowledge,,Spellplague et ses conséquences | Histoire des Royaumes Oubliés | Histoire de la magie | Écoles et traditions magiques | Connaissance des guildes et corporations,Maçonnerie | Travail du cuir et tannerie,,Chondathan | Illuskan,-5.24,YES,Théurgique,Magie Blanche,-2,-1,-2,-1,1,160.6,63.9,-1,0,2,0,-2,-6,0,0,1,2,Aucun,2026-05-26 16:51:25
CH-00007,Human,Chondathan,The Dalelands,Camp de bûcherons,Plains Tracking | Snow and Ice Shelter Building | Island Navigation | Technical Rock Climbing | Marsh Movement | Open Land Navigation,Urban Observation and Tailing | Building Climbing / Parkour,Connaissance des dragons | Histoire d’Imaskar | Spellplague et ses conséquences | Noblesse et héraldique | Connaissance des guildes et corporations,Céramique et poterie | Forge et métallurgie | Fabrication de voiles et cordages,,Chondathan | Elfique | Turmish,-6.33,YES,Théurgique,Magie Verte,0,-2,-5,-2,3,172.3,74.8,0,-2,-1,-3,-3,2,1,-3,-4,-2,Aucun,2026-05-26 16:51:25
CH-00008,Half-elf,Wild Half-elf,Silver Marches (Luruar),Village forestier,Mountain Endurance | Subterranean Hazard Resistance | Game Butchering and Preservation | Advanced Tracking | Primitive Fire Mastery,,Royaumes et cités perdues | Noblesse et héraldique | Genasi et peuples élémentaires | Mythes et légendes divines | Connaissance des dragons,Cartographie,Chondathan (Alphabet Thorass),Chondathan | Illuskan | Nain,0.99,NO,None,,3,0,-6,-3,10,175.2,92.4,1,0,-10,1,-4,9,5,2,-2,-10,Méditation + Immunité sommeil + VN (N1),2026-05-26 16:51:25
CH-00009,Human,Chondathan,Western Heartlands,Ferme isolée / Domaine,Open Land Navigation | Island Navigation | Desert Water Mastery | Desert Thermal Endurance | River Crossing | Subterranean Hazard Resistance,Building Infiltration,Routes commerciales et voies marchandes | Spellplague et ses conséquences | Connaissance des organisations secrètes,Navigation (terrestre et maritime) | Comptabilité et gestion de biens | Travail du cuir et tannerie,Chondathan (Alphabet Thorass),Chondathan | Thorass,3.66,NO,None,,3,1,-1,-1,12,181.7,87.7,1,0,-3,-1,0,-4,-1,-1,-3,-4,Aucun,2026-05-26 16:51:25
CH-00010,Human,Illuskan,Le Nord (The North),Camp de bûcherons,Storm and Seasickness Mastery | Technical Rock Climbing | Oceanic Navigation | Marsh Disease Resistance | Game Butchering and Preservation,Building Infiltration,"Courants politiques et rivalités | Culture elfique | Cosmologie (Weave, Shadow Weave) | Mythes et légendes divines",Teinture et coloration | Travail du cuir et tannerie | Serrurerie et mécanismes,Chondathan (Alphabet Thorass),Illuskan | Northlander,3.0,NO,None,,1,0,1,1,6,177.0,78.9,1,-6,6,0,0,10,6,0,-6,6,Aucun,2026-05-26 16:51:25
