ID,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Starting_Equipment_Cost_BP,Starting_Equipment_Kit_Type,Final_Pocket_Money_BP,Armes_et_Bouclier,Armure,Monture_et_Reste,Equipment_Source,Prebuilt_Kit_Tier,Prebuilt_Kit_Cost_Sp,Combat_Points,Magic,Magic_Type,Magic_Subtype,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00001,Human,Chondathan,Vilhon Reach,Major Port City,Groupe4_Vilhon_Est,Plains Tracking,Sleight of Hand & Cheating | Sleight of Hand & Cheating | City Secrets & Hidden Routes | Smuggling Networks,Major Cities & Regions | Political Currents & Rivalries | Astronomy & Star Navigation | Aberration Lore,Smithing & Metallurgy | Preservation & Salting | Glassworking,Chessentan | Thorass,Chessentan | Chondathan,962,293.4,universal_standard,531,"Longsword, Arming Sword, War Dart (x3), Heater Shield (Size 8), Main-gauche, Francisca","Great Helm, Mail coif, Simple Breastplate, Jack of Plates, Pourpoint (light civil), Gorget (normal), Vambraces + Couter, Gauntlets (normal), Plackart, Fauld, Tassets (short pair), Mail Demi-chausses, Poleyns + Knee guards, Greaves (reinforced), Sabatons (normal)",Aucun,PrebuiltTieredKit,701-1100sp,957,-4.24,YES,Théurgique,Magie Blanche,-2,-1,-2,0,4,178.8,71.0,1,-1,-1,-1,-1,0,-4,7,-2,-2,Aucun,2026-06-04 17:13:13
CH-00002,Human,Chondathan,Vilhon Reach,Fishing Village,Groupe4_Vilhon_Est,Advanced Tracking | Oceanic Navigation | Storm and Seasickness Mastery | Open Land Navigation,City Secrets & Hidden Routes,Orc & Goblinoid Culture | Major Cities & Regions | Guilds & Organizations,Weapons & Armor Smithing | Lens Making & Optics | Dyeing & Textile Coloring,Thorass,Chondathan | Halruaan | Thorass,483,293.4,universal_standard,242,"Katzbalger, Arming Sword","Great Bascinet (with bevor), Aventail, Breastplate + Backplate, Arming Doublet, Bevor, Couter (pair)",Aucun,PrebuiltTieredKit,401-700sp,483,-12.27,YES,Arcanique,Magicien,-7,-5,-4,-4,5,155.0,57.5,-2,-7,-1,1,-4,2,-2,1,-4,-1,Aucun,2026-06-04 17:13:13
CH-00003,Gnome,Forest Gnome,Moonwood,Forest Village,Groupe3_Coeur_Continental,Advanced Tracking | Primitive Fire Mastery | Wild Plant Foraging | Storm and Seasickness Mastery | Forest Stealth | Complex Terrain Navigation,,Geography of Faerûn | Laws & Customs of Nations | Legendary Artifacts & Relics | Religious Cults & Orders,Navigation (Land & Sea),Gnomish | Sylvestre,Gnomish | Sylvestre,210,293.4,universal_standard,105,Club,"Leather Helmet, Reinforced Gambeson, Couter (pair)","Rouncey, Riding Saddle, Plate chanfron",PrebuiltTieredKit,201-400sp,211,-7.93,YES,Arcanique,Magicien,-9,-6,2,-7,-1,129.9,39.8,-6,7,-1,-8,5,0,1,8,6,-4,"Vision nocturne N1, Affinité nature",2026-06-04 17:13:13
CH-00004,Human,Chondathan,Western Heartlands,Rural Village,Groupe3_Coeur_Continental,Open Land Navigation | Plains Tracking | Snow and Ice Shelter Building | Total Darkness Navigation | Advanced Tracking,High Society Manipulation | Criminal Organizations & Syndicates,Geography of Faerûn | Cultural Interactions,Smithing & Metallurgy | Accounting & Estate Management,Cormyrian,Chondathan | Cormyrian | Thorass,362,293.4,universal_standard,191,"War Hammer (Renaissance), Arming Sword, Staff Sling, Large Buckler (Size 4)","Bascinet (basic), Coat of Plates, Arming Doublet",Sling bullets (12),PrebuiltTieredKit,201-400sp,361,7.43,NO,None,,-9,-3,7,-1,-2,153.9,49.1,-2,-2,-2,11,4,9,11,1,8,1,Aucun,2026-06-04 17:13:13
CH-00005,Human,Rashemi,Rashemen,Nomad Camp,Groupe10_Rashemen,Advanced Tracking | Wild Plant Foraging | Marsh Movement | Complex Terrain Navigation | Forest Stealth,Temple Politics & Religious Intrigue | Disguise & Impersonation,"Divine Myths & Legends | Dwarven Culture | Cosmology (Weave, Shadow Weave) | Gnomish Culture",Beekeeping | Smithing & Metallurgy | Weaving & Spinning,Rashemi,Infernal | Mulhorandi | Rashemi,299,293.4,universal_standard,150,"Main-gauche, Hand Axe, Sling, Brocchiere (Size 1)","Burgonet, Reinforced Gambeson, Gorget (normal), Couter (pair), Plackart, Cuisses (normal), Schynbalds / Demi-greaves",Sling bullets (24),PrebuiltTieredKit,201-400sp,304,16.18,NO,None,,5,1,3,1,10,181.6,92.4,1,-5,7,-3,3,4,-8,1,-9,6,Aucun,2026-06-04 17:13:13
CH-00006,Half-orc,Orc,Le Nord (The North),Logging Camp,Groupe5_Nord_Sauvage,Deep-Sea Fishing | Technical Rock Climbing | Mountain Endurance | Advanced Tracking | Underground Navigation | Open Land Navigation,Black Market Operations,Cultural Interactions | History of the Realms | Major Religions & Deities | Local Folklore & Legends,Clockmaking & Complex Mechanisms | Perfumery & Cosmetics | Cabinetmaking & Marquetry,Northlander | Orc,Illuskan | Northlander | Orc,226,293.4,universal_standard,113,"Battle Axe, Arming Sword, Staff Sling, Small Buckler (Size 2)","Cabasset, Reinforced Gambeson",Sling bullets (72),PrebuiltTieredKit,201-400sp,226,6.93,NO,None,,5,0,-5,-1,15,178.4,92.4,1,0,1,-11,-1,2,-5,-11,-10,-3,Force brutale + Vision dans le noir N1,2026-06-04 17:13:13
CH-00007,Human,Gur,The Shaar,Remote Trading Post,Groupe3_Coeur_Continental,Open Land Navigation | Wild Plant Foraging | Forced March Endurance | Advanced Tracking,Information Brokerage | Urban Stealth & Shadowing,Legendary Artifacts & Relics | History of the Realms | Political Currents & Rivalries,Cartography | Smithing & Metallurgy | Animal Husbandry & Training,Shaaran,Rashemi | Shaaran | Yuan-ti,389,293.4,universal_standard,195,"Composite Bow (quality), Falchion","Cervelière, Aventail, Pourpoint (light civil), Bevor, Couter (pair), Sabatons (broad bear-foot)",Arrows (12),PrebuiltTieredKit,201-400sp,391,4.34,NO,None,,4,0,-1,-2,14,172.0,97.4,0,-7,0,1,-1,0,-5,-2,-9,0,Aucun,2026-06-04 17:13:13
CH-00008,Human,Bedine,Anauroch,Caravan Oasis,Groupe3_Coeur_Continental,Open Land Navigation | Trapping and Snaring | Field Weapon Maintenance | Snow and Ice Shelter Building | Desert Thermal Endurance,Criminal Organizations & Syndicates,Laws & Customs of Nations | History of Magic | Geography of Faerûn | Fey & Feywild Knowledge,Smithing & Metallurgy | Navigation (Land & Sea),Druidic | Chondathan,Chondathan | Druidic | Infernal | Midani,170,293.4,universal_standard,85,Messer,"Cabasset, Aventail, Gambeson (basic), Gorget (reinforced), Schynbalds / Demi-greaves",Aucun,PrebuiltTieredKit,101-200sp,170,10.56,NO,None,,2,2,2,2,5,178.6,74.8,1,5,0,0,2,-4,2,6,3,0,Aucun,2026-06-04 17:13:13
CH-00009,Human,Chondathan,Western Heartlands,Rural Village,Groupe3_Coeur_Continental,Open Land Navigation | Subterranean Hazard Resistance | Rope Making and Knot Mastery | Plains Tracking | Advanced Tracking,City Secrets & Hidden Routes | Black Market Operations,"Festivals, Calendars & Traditions | Local Folklore & Legends | Astronomy & Star Navigation | Aberration Lore",Masonry | Ceramics & Pottery | Dyeing & Textile Coloring,Chondathan | Thorass,Chondathan | Turmish,416,293.4,universal_standard,208,"Lance, Messer, Large Rotella (Size 7)","Kettle Hat, Reinforced Gambeson (long), Gorget (articulated/raised), Vambraces + Couter, Plackart","Courser, Riding Saddle, Leather crinet",PrebuiltTieredKit,401-700sp,416,38.57,NO,None,,8,6,-2,5,-3,175.4,83.2,1,10,7,-1,-3,0,-3,1,5,6,Aucun,2026-06-04 17:13:13
CH-00010,Human,Tethyrian,Tethyr,Isolated Farmstead,Groupe2_Sud_Marchand,Weather Reading | Forest Stealth | Open Land Navigation | Advanced Tracking | Plains Tracking,Poison Lore & Subtle Application,Laws & Customs of Nations | Ruins & Major Archaeological Sites,Brewing & Distilling | Clockmaking & Complex Mechanisms,Tethyrian,Chondathan | Sembian | Tethyrian,510,293.4,universal_standard,255,"Francisca, Arming Sword, Sling","Leather Helmet, Mail coif, Gambeson (long / fended), Schynbalds / Demi-greaves","Rouncey, War Saddle, Leather barding, Leather chanfron + Sling bullets (12)",PrebuiltTieredKit,401-700sp,510,-9.03,YES,Arcanique,Magicien,-5,-3,-3,-2,4,166.4,67.4,0,-8,-3,5,-4,4,-1,-5,-3,-2,Aucun,2026-06-04 17:13:13
